Rank,Player,Team,Possessions Won in Final 3rd per 90,Possessions Won Midfield per 90,Minutes,Matches,Country
145,Alexander Sørloth,Villarreal,0.5,1.2,2491,34,NOR
145,Anthony Lozano,Almería,0.5,1.2,866,19,HON
145,Rodrygo,Real Madrid,0.5,1.2,2388,34,BRA
148,Myrto Uzuni,Granada CF,0.5,1.1,2459,34,ALB
148,Raul Garcia,Osasuna,0.5,1.1,1347,35,ESP
150,Memphis Depay,Atlético de Madrid,0.5,1.0,888,23,NED
151,Willian José,Real Betis,0.5,0.9,1978,33,BRA
152,Manu Morlanes,Mallorca,0.4,4.2,1610,35,ESP
153,Marc Roca,Real Betis,0.4,4.0,1986,26,ESP
154,Frenkie de Jong,Barcelona,0.4,3.5,1637,20,NED
154,Pathé Ciss,Rayo Vallecano,0.4,3.5,1658,31,SEN
156,Fran Beltrán,Celta de Vigo,0.4,3.3,2438,33,ESP
157,Pablo Torre,Girona,0.4,3.1,690,26,ESP
158,Lucas Robertone,Almería,0.4,3.0,2391,33,ARG
159,Pablo Barrios,Atlético de Madrid,0.4,2.9,1556,24,ESP
159,Yangel Herrera,Girona,0.4,2.9,2120,29,VEN
161,Largie Ramazani,Almería,0.4,2.8,1560,29,BEL
162,Santi Comesana,Villarreal,0.4,2.7,1656,27,ESP
163,Diego Rico,Getafe,0.4,2.5,2536,32,ESP
163,Jonathan Bamba,Celta de Vigo,0.4,2.5,1993,27,CIV
165,Jon Guridi,Alavés,0.4,2.4,2697,36,ESP
166,Javier Munoz,Las Palmas,0.4,2.3,2646,37,ESP
167,Marvin Park,Las Palmas,0.4,2.2,1852,31,ESP
168,Juan Iglesias,Getafe,0.4,2.1,1413,23,ESP
169,Vedat Muriqi,Mallorca,0.4,2.0,2329,29,KVX
170,Alfonso Espino,Rayo Vallecano,0.4,1.9,2512,31,URU
170,Kiko,Villarreal,0.4,1.9,1579,23,ESP
170,Leo Baptistao,Almería,0.4,1.9,1843,32,BRA
173,Jesus Areso,Osasuna,0.4,1.8,2661,37,ESP
