Rank,Player,Team,Shots per 90,Shot Conversion Rate (%),Minutes,Matches,Country
223,Lucas Pires,Cádiz,0.6,9.1,1527,28,BRA
224,Alejandro Catena,Osasuna,0.6,5.6,2536,30,ESP
225,Antonio Rüdiger,Real Madrid,0.6,5.3,2707,33,GER
226,Aihen Munoz,Real Sociedad,0.6,0.0,1120,21,ESP
226,Alfonso Espino,Rayo Vallecano,0.6,0.0,2512,31,URU
226,David Garcia,Osasuna,0.6,0.0,2336,27,ESP
226,Diego Rico,Getafe,0.6,0.0,2536,32,ESP
226,Inigo Martinez,Barcelona,0.6,0.0,1293,20,ESP
226,Iván Alejo,Cádiz,0.6,0.0,1702,30,ESP
226,Loic Badé,Sevilla,0.6,0.0,2283,28,FRA
226,Manu Morlanes,Mallorca,0.6,0.0,1610,35,ESP
226,Mario Hermoso,Atlético de Madrid,0.6,0.0,2556,31,ESP
235,Sergio Akieme,Almería,0.5,22.2,1676,19,EQG
236,Ricard Sánchez,Granada CF,0.5,21.4,2298,33,ESP
237,Andreas Christensen,Barcelona,0.5,16.7,1990,30,DEN
238,Edgar González,Almería,0.5,15.4,2528,31,ESP
239,Gaston Álvarez,Getafe,0.5,14.3,2535,34,URU
239,José Copete,Mallorca,0.5,14.3,1335,19,ESP
241,Miguel Rubio,Granada CF,0.5,11.1,1559,19,ESP
242,José Gayà,Valencia CF,0.5,10.0,1797,24,ESP
243,Inigo Ruiz de Galarreta,Athletic Club,0.5,9.1,2104,29,ESP
244,Carl Starfelt,Celta de Vigo,0.5,8.3,2218,27,SWE
245,Aitor Paredes,Athletic Club,0.5,7.1,2706,34,ESP
245,Giovanni González,Mallorca,0.5,7.1,2463,34,URU
247,Andoni Gorosabel,Alavés,0.5,6.7,2863,36,ESP
247,Oscar Valentin,Rayo Vallecano,0.5,6.7,2700,34,ESP
249,Ander Guevara,Alavés,0.5,6.3,2936,37,ESP
250,Daley Blind,Girona,0.5,5.9,2971,34,NED
251,Álex Fernández,Cádiz,0.5,0.0,1283,26,ESP
251,Chadi Riad,Real Betis,0.5,0.0,2164,26,MAR
251,Iddrisu Baba,Almería,0.5,0.0,1424,25,GHA
251,José Giménez,Atlético de Madrid,0.5,0.0,1323,22,URU
251,Manuel Sánchez,Celta de Vigo,0.5,0.0,1777,26,ESP
251,Oliver Torres,Sevilla,0.5,0.0,1620,27,ESP
251,Oscar Melendo,Granada CF,0.5,0.0,1126,26,ESP
251,Rafa Marin,Alavés,0.5,0.0,2442,33,ESP
251,Sergio Ruiz,Granada CF,0.5,0.0,2501,35,ESP
251,Yeray Álvarez,Athletic Club,0.5,0.0,1155,19,ESP
261,Frenkie de Jong,Barcelona,0.4,28.6,1637,20,NED
262,Daniel Parejo,Villarreal,0.4,25.0,2586,33,ESP
263,Jon Pacheco,Real Sociedad,0.4,16.7,1521,23,ESP
264,Julian Araujo,Las Palmas,0.4,14.3,1462,25,MEX
265,Abdelkabir Abqar,Alavés,0.4,0.0,2314,27,MAR
265,Alejandro Pozo,Almería,0.4,0.0,970,21,ESP
265,Benat Prados,Athletic Club,0.4,0.0,1450,26,ESP
265,Fali,Cádiz,0.4,0.0,2550,30,ESP
265,Gabriel Paulista,Atlético de Madrid,0.4,0.0,1806,23,BRA
265,Igor Zubeldia,Real Sociedad,0.4,0.0,2523,30,ESP
265,Koke,Atlético de Madrid,0.4,0.0,2502,35,ESP
265,Maximo Perrone,Las Palmas,0.4,0.0,1626,29,ARG
273,Matija Nastasic,Mallorca,0.3,25.0,2257,26,SRB
273,Robin Le Normand,Real Sociedad,0.3,25.0,2473,29,ESP
275,Abdul Mumin,Rayo Vallecano,0.3,16.7,1695,20,GHA
276,Jesus Areso,Osasuna,0.3,11.1,2661,37,ESP
277,Abner,Real Betis,0.3,0.0,1397,23,BRA
277,Aridane Hernández,Rayo Vallecano,0.3,0.0,1691,19,EQG
277,Carlos Dominguez,Celta de Vigo,0.3,0.0,1585,22,ESP
277,Cenk Özkacar,Valencia CF,0.3,0.0,1595,23,TUR
277,Cristhian Mosquera,Valencia CF,0.3,0.0,3074,36,ESP
