Rank,Player,Team,Expected Goals per 90,Goals per 90,Minutes,Matches,Country
168,Aurélien Tchouaméni,Real Madrid,0.06,0.14,1987,27,FRA
168,Jorge Cuenca,Villarreal,0.06,0.14,1961,29,ESP
170,Antonio Raillo,Mallorca,0.06,0.12,2198,26,ESP
171,Sergio Akieme,Almería,0.06,0.11,1676,19,EQG
172,Nahuel Molina,Atlético de Madrid,0.06,0.1,1855,30,ARG
173,Alex Suárez,Las Palmas,0.06,0.07,2566,32,ESP
173,Joao Cancelo,Barcelona,0.06,0.07,2506,32,POR
173,José Ángel Carmona,Getafe,0.06,0.07,1312,30,ESP
176,Étienne Capoue,Villarreal,0.06,0.06,1444,32,FRA
177,Carl Starfelt,Celta de Vigo,0.06,0.04,2218,27,SWE
177,Yan Couto,Girona,0.06,0.04,2245,34,BRA
179,Daley Blind,Girona,0.06,0.03,2971,34,NED
179,Jules Koundé,Barcelona,0.06,0.03,2899,35,FRA
179,Oscar Valentin,Rayo Vallecano,0.06,0.03,2700,34,ESP
182,Ander Herrera,Athletic Club,0.06,0.0,1023,23,ESP
182,Benat Turrientes,Real Sociedad,0.06,0.0,1688,29,ESP
182,Dion Lopy,Almería,0.06,0.0,1917,30,SEN
182,Gerard Gumbau,Granada CF,0.06,0.0,2684,35,ESP
182,Manu Morlanes,Mallorca,0.06,0.0,1610,35,ESP
182,Oscar Trejo,Rayo Vallecano,0.06,0.0,1381,31,ARG
182,Selim Amallah,Valencia CF,0.06,0.0,597,20,MAR
189,Iker Munoz,Osasuna,0.05,0.19,1856,28,ESP
190,Kike Salas,Sevilla,0.05,0.17,1604,23,ESP
191,William Carvalho,Real Betis,0.05,0.13,669,22,POR
192,Andreas Christensen,Barcelona,0.05,0.09,1990,30,DEN
192,Marc Roca,Real Betis,0.05,0.09,1986,26,ESP
194,Aleix Garcia,Girona,0.05,0.08,3201,37,ESP
194,Alfonso Pedraza,Villarreal,0.05,0.08,1119,19,ESP
194,Matija Nastasic,Mallorca,0.05,0.08,2257,26,SRB
194,Nahuel Tenaglia,Alavés,0.05,0.08,1131,25,ARG
198,Daniel Rodriguez,Mallorca,0.05,0.07,2632,36,ESP
198,Robin Le Normand,Real Sociedad,0.05,0.07,2473,29,ESP
200,Lucas Pires,Cádiz,0.05,0.06,1527,28,BRA
200,Miguel Rubio,Granada CF,0.05,0.06,1559,19,ESP
200,Pablo Maffeo,Mallorca,0.05,0.06,1456,22,ARG
203,Alejandro Catena,Osasuna,0.05,0.04,2536,30,ESP
203,Fran Pérez,Valencia CF,0.05,0.04,2069,32,ESP
203,Javier Hernández,Cádiz,0.05,0.04,2517,30,ESP
203,Unai Lopez,Rayo Vallecano,0.05,0.04,2123,35,ESP
207,Antonio Rüdiger,Real Madrid,0.05,0.03,2707,33,GER
207,Unai Nunez,Celta de Vigo,0.05,0.03,2802,34,ESP
209,Daniel Ceballos,Real Madrid,0.05,0.0,586,20,ESP
209,Eduardo Camavinga,Real Madrid,0.05,0.0,1824,31,FRA
209,Iddrisu Baba,Almería,0.05,0.0,1424,25,GHA
209,Loic Badé,Sevilla,0.05,0.0,2283,28,FRA
209,Mario Hermoso,Atlético de Madrid,0.05,0.0,2556,31,ESP
209,Marvin Park,Las Palmas,0.05,0.0,1852,31,ESP
209,Omar Alderete,Getafe,0.05,0.0,2194,31,PAR
209,Pablo Barrios,Atlético de Madrid,0.05,0.0,1556,24,ESP
209,Ramon Terrats,Villarreal,0.05,0.0,780,19,ESP
209,Rubén Pena,Osasuna,0.05,0.0,2105,29,ESP
219,Yuri Berchiche,Athletic Club,0.04,0.14,1931,27,ESP
220,Alberto Moreno,Villarreal,0.04,0.12,1490,27,ESP
220,Ricard Sánchez,Granada CF,0.04,0.12,2298,33,ESP
222,Frenkie de Jong,Barcelona,0.04,0.11,1637,20,NED
223,José Copete,Mallorca,0.04,0.07,1335,19,ESP
224,Julian Araujo,Las Palmas,0.04,0.06,1462,25,MEX
225,Adrià Pedrosa,Sevilla,0.04,0.05,1749,31,ESP
225,Nemanja Gudelj,Sevilla,0.04,0.05,1744,22,SRB
227,Javi Lopez,Alavés,0.04,0.04,2387,32,ESP
227,Samu,Mallorca,0.04,0.04,2305,34,POR
227,Saul Coco,Las Palmas,0.04,0.04,2293,30,EQG
230,Aitor Paredes,Athletic Club,0.04,0.03,2706,34,ESP
230,Ignasi Miquel,Granada CF,0.04,0.03,2991,34,ESP
232,Alejandro Pozo,Almería,0.04,0.0,970,21,ESP
232,Alfonso Espino,Rayo Vallecano,0.04,0.0,2512,31,URU
232,César Azpilicueta,Atlético de Madrid,0.04,0.0,1421,25,ESP
232,César Montes,Almería,0.04,0.0,1792,21,MEX
232,David Garcia,Osasuna,0.04,0.0,2336,27,ESP
232,Johan Mojica,Osasuna,0.04,0.0,2041,30,COL
232,Juan Brandariz,Almería,0.04,0.0,2432,31,ESP
232,Juan Iglesias,Getafe,0.04,0.0,1413,23,ESP
232,Lucas Robertone,Almería,0.04,0.0,2391,33,ARG
232,Oscar Melendo,Granada CF,0.04,0.0,1126,26,ESP
242,Guido Rodriguez,Real Betis,0.03,0.1,1849,24,ARG
242,Rubén Duarte,Alavés,0.03,0.1,1875,28,ESP
244,Gaston Álvarez,Getafe,0.03,0.07,2535,34,URU
245,Axel Witsel,Atlético de Madrid,0.03,0.06,2784,35,BEL
245,Francisco Garcia,Real Madrid,0.03,0.06,1396,25,ESP
247,Jon Moncayola,Osasuna,0.03,0.05,1801,33,ESP
247,José Gayà,Valencia CF,0.03,0.05,1797,24,ESP
247,Marc Pubill,Almería,0.03,0.05,1889,23,ESP
250,Oscar de Marcos,Athletic Club,0.03,0.04,2261,28,ESP
251,Antonio Blanco,Alavés,0.03,0.0,2436,33,ESP
251,Benat Prados,Athletic Club,0.03,0.0,1450,26,ESP
251,Chadi Riad,Real Betis,0.03,0.0,2164,26,MAR
251,Daniel Vivian,Athletic Club,0.03,0.0,2879,33,ESP
251,Dimitri Foulquier,Valencia CF,0.03,0.0,1833,33,FRA
251,Enzo Loiodice,Las Palmas,0.03,0.0,1792,34,FRA
251,Fali,Cádiz,0.03,0.0,2550,30,ESP
251,Fran Beltrán,Celta de Vigo,0.03,0.0,2438,33,ESP
251,Gabriel Paulista,Atlético de Madrid,0.03,0.0,1806,23,BRA
251,Igor Zubeldia,Real Sociedad,0.03,0.0,2523,30,ESP
251,Inigo Martinez,Barcelona,0.03,0.0,1293,20,ESP
251,Iván Alejo,Cádiz,0.03,0.0,1702,30,ESP
251,José Giménez,Atlético de Madrid,0.03,0.0,1323,22,URU
251,Luis Milla,Getafe,0.03,0.0,2123,27,ESP
251,Nacho Fernandez,Real Madrid,0.03,0.0,1739,29,ESP
251,Oliver Torres,Sevilla,0.03,0.0,1620,27,ESP
251,Omar Mascarell,Mallorca,0.03,0.0,1573,29,EQG
251,Rafa Marin,Alavés,0.03,0.0,2442,33,ESP
251,Sergio Ruiz,Granada CF,0.03,0.0,2501,35,ESP
251,Thierry Correia,Valencia CF,0.03,0.0,2157,31,POR
251,Victor Chust,Cádiz,0.03,0.0,1870,22,ESP
272,Marcos Acuna,Sevilla,0.02,0.07,1296,21,ARG
273,Abdul Mumin,Rayo Vallecano,0.02,0.05,1695,20,GHA
274,Giovanni González,Mallorca,0.02,0.04,2463,34,URU
