Rank,Player,Team,Expected Goals on Target (xGOT),Actual Goals,Minutes,Matches,Country
143,Antonio Puertas,Granada CF,2.1,0.0,720,27,ESP
144,Daniel Rodriguez,Mallorca,2.0,2.0,2632,36,ESP
144,José Arnáiz,Osasuna,2.0,2.0,922,26,ESP
144,Oscar Rodriguez,Getafe,2.0,2.0,962,24,ESP
144,Roger,Cádiz,2.0,2.0,1367,23,ESP
148,Pathé Ciss,Rayo Vallecano,2.0,1.0,1658,31,SEN
148,Yan Couto,Girona,2.0,1.0,2245,34,BRA
150,Dion Lopy,Almería,2.0,0.0,1917,30,SEN
150,Jordi Martin,Getafe,2.0,0.0,574,13,ESP
152,Iker Munoz,Osasuna,1.9,4.0,1856,28,ESP
153,Pablo Fornals,Real Betis,1.9,3.0,1153,15,ESP
154,Alberto Moreno,Villarreal,1.9,2.0,1490,27,ESP
154,Alex Suárez,Las Palmas,1.9,2.0,2566,32,ESP
154,Carlos Fernández,Real Sociedad,1.9,2.0,406,10,ESP
154,Miguel Gutiérrez,Girona,1.9,2.0,3037,35,ESP
158,Alberto Mari,Valencia CF,1.9,1.0,264,16,ESP
158,Giuliano Simeone,Alavés,1.9,1.0,628,14,ARG
158,Pablo Ibánez,Osasuna,1.9,1.0,1141,33,ESP
158,Sergi Cardona,Las Palmas,1.9,1.0,2816,35,ESP
162,Eric Garcia,Girona,1.8,5.0,2697,32,ESP
163,Guido Rodriguez,Real Betis,1.8,2.0,1849,24,ARG
164,Bertrand Traoré,Villarreal,1.8,1.0,569,11,BFA
164,Unai Nunez,Celta de Vigo,1.8,1.0,2802,34,ESP
166,Matias Arezo,Granada CF,1.8,0.0,359,14,URU
166,Maximiliano Gomez,Cádiz,1.8,0.0,1157,31,URU
168,Carlos Vicente,Alavés,1.7,2.0,1118,18,ESP
168,Yerson Mosquera,Villarreal,1.7,2.0,1228,16,COL
170,Arsen Zakharyan,Real Sociedad,1.7,1.0,1229,29,RUS
170,Djibril Sow,Sevilla,1.7,1.0,1469,24,SUI
170,Javier Hernández,Cádiz,1.7,1.0,2517,30,ESP
170,Luca de la Torre,Celta de Vigo,1.7,1.0,1956,31,USA
170,Lucas Torro,Osasuna,1.7,1.0,1788,28,ESP
175,Alex Sola,Alavés,1.7,0.0,1285,31,ESP
175,Gerard Gumbau,Granada CF,1.7,0.0,2684,35,ESP
177,Aurélien Tchouaméni,Real Madrid,1.6,3.0,1987,27,FRA
178,Robin Le Normand,Real Sociedad,1.6,2.0,2473,29,ESP
178,Sergio Akieme,Almería,1.6,2.0,1676,19,EQG
178,Vitor Roque,Barcelona,1.6,2.0,319,14,BRA
181,Johnny,Real Betis,1.6,1.0,1331,17,USA
182,Omar Alderete,Getafe,1.6,0.0,2194,31,PAR
183,Antonio Raillo,Mallorca,1.5,3.0,2198,26,ESP
