Rank,Player,Team,Yellow Cards,Red Cards,Minutes,Matches,Country
162,Nemanja Maksimovic,Getafe,4.0,0.0,3272,37,SRB
162,Oriol Romeu,Barcelona,4.0,0.0,930,28,ESP
162,Oscar Mingueza,Celta de Vigo,4.0,0.0,3002,38,ESP
162,Pau Cubarsi,Barcelona,4.0,0.0,1562,19,ESP
162,Pepelu,Valencia CF,4.0,0.0,3305,37,ESP
162,Radamel Falcao,Rayo Vallecano,4.0,0.0,391,22,COL
162,Ramon Terrats,Villarreal,4.0,0.0,780,19,ESP
162,Raul Garcia,Osasuna,4.0,0.0,1347,35,ESP
162,Raul Garcia,Athletic Club,4.0,0.0,404,20,ESP
162,Raul Torrente,Granada CF,4.0,0.0,1252,17,ESP
162,Rui Silva,Real Betis,4.0,0.0,2475,28,POR
162,Sergi Darder,Mallorca,4.0,0.0,2154,36,ESP
162,Sergi Roberto,Barcelona,4.0,0.0,863,14,ESP
162,Umar Sadiq,Real Sociedad,4.0,0.0,1074,26,NGA
162,Unai Nunez,Celta de Vigo,4.0,0.0,2802,34,ESP
162,Yéremi Pino,Villarreal,4.0,0.0,479,7,ESP
162,Yerson Mosquera,Villarreal,4.0,0.0,1228,16,COL
162,Youssef En-Nesyri,Sevilla,4.0,0.0,2573,33,MAR
217,Domingos Duarte,Getafe,3.0,2.0,905,15,POR
217,Oihan Sancet,Athletic Club,3.0,2.0,1991,30,ESP
217,Victor Chust,Cádiz,3.0,2.0,1870,22,ESP
220,Antonio Puertas,Granada CF,3.0,1.0,720,27,ESP
220,Daniel Carvajal,Real Madrid,3.0,1.0,2172,28,ESP
220,Giorgi Mamardashvili,Valencia CF,3.0,1.0,3285,37,GEO
220,Ilaix Moriba,Getafe,3.0,1.0,606,14,GUI
220,Javier Guerra,Valencia CF,3.0,1.0,2502,36,ESP
220,Pablo Maffeo,Mallorca,3.0,1.0,1456,22,ARG
220,Pep Chavarria,Rayo Vallecano,3.0,1.0,1164,22,ESP
220,Renato Tapia,Celta de Vigo,3.0,1.0,1337,21,PER
220,Selim Amallah,Valencia CF,3.0,1.0,597,20,MAR
229,Abdon Prats,Mallorca,3.0,0.0,1258,34,ESP
229,Abner,Real Betis,3.0,0.0,1397,23,BRA
229,Adrià Altimira,Villarreal,3.0,0.0,779,11,ESP
229,Aimar Oroz,Osasuna,3.0,0.0,2350,33,ESP
229,Aissa Mandi,Villarreal,3.0,0.0,1113,16,ALG
229,Alejandro Pozo,Almería,3.0,0.0,970,21,ESP
229,Álex Fernández,Cádiz,3.0,0.0,1283,26,ESP
229,Alexander Sørloth,Villarreal,3.0,0.0,2491,34,NOR
229,Ángel Correa,Atlético de Madrid,3.0,0.0,1525,32,ARG
229,Antonio Sánchez,Mallorca,3.0,0.0,1463,29,ESP
229,Antonio Sivera,Alavés,3.0,0.0,3060,34,ESP
229,Aridane Hernández,Rayo Vallecano,3.0,0.0,1691,19,EQG
229,Arnau Puigmal,Almería,3.0,0.0,248,11,ESP
229,Augusto Batalla,Granada CF,3.0,0.0,1530,17,ARG
229,Carles Pérez,Celta de Vigo,3.0,0.0,768,16,ESP
229,Carlos Fernández,Real Sociedad,3.0,0.0,406,10,ESP
229,Cenk Özkacar,Valencia CF,3.0,0.0,1595,23,TUR
229,David Soria,Getafe,3.0,0.0,3414,38,ESP
229,Dimitri Foulquier,Valencia CF,3.0,0.0,1833,33,FRA
229,Enrique Barja,Osasuna,3.0,0.0,293,16,ESP
229,Erik Lamela,Sevilla,3.0,0.0,459,13,ARG
229,Gonzalo Melero,Almería,3.0,0.0,1093,28,ESP
229,Ianis Hagi,Alavés,3.0,0.0,798,22,ROU
229,Javi Lopez,Alavés,3.0,0.0,2387,32,ESP
229,Javier Manquillo,Celta de Vigo,3.0,0.0,746,12,ESP
229,Jesus Areso,Osasuna,3.0,0.0,2661,37,ESP
229,Joao Félix,Barcelona,3.0,0.0,1542,30,POR
229,Johnny,Real Betis,3.0,0.0,1331,17,USA
229,Jon Aramburu,Real Sociedad,3.0,0.0,541,11,VEN
229,Jon Olasagasti,Real Sociedad,3.0,0.0,351,14,ESP
229,José Arnáiz,Osasuna,3.0,0.0,922,26,ESP
229,Joseba Zaldua,Cádiz,3.0,0.0,709,13,ESP
229,Juan Cruz,Osasuna,3.0,0.0,1663,26,ESP
229,Juanmi,Cádiz,3.0,0.0,872,16,ESP
229,Kevin Vázquez,Celta de Vigo,3.0,0.0,706,12,ESP
229,Kike Garcia,Alavés,3.0,0.0,1421,33,ESP
229,Lamine Yamal,Barcelona,3.0,0.0,2197,37,ESP
229,Lucien Agoume,Sevilla,3.0,0.0,777,12,FRA
229,Luis Suárez,Almería,3.0,0.0,917,15,COL
229,Manuel Sánchez,Celta de Vigo,3.0,0.0,1777,26,ESP
229,Marc-Andre ter Stegen,Barcelona,3.0,0.0,2520,28,GER
229,Marcos Pena,Almería,3.0,0.0,439,7,ESP
229,Mikel Oyarzabal,Real Sociedad,3.0,0.0,2157,33,ESP
229,Moi Gomez,Osasuna,3.0,0.0,2010,28,ESP
229,Munir El Haddadi,Las Palmas,3.0,0.0,2470,38,MAR
229,Myrto Uzuni,Granada CF,3.0,0.0,2459,34,ALB
229,Oliver Torres,Sevilla,3.0,0.0,1620,27,ESP
229,Pedri,Barcelona,3.0,0.0,1482,24,ESP
229,Roger,Cádiz,3.0,0.0,1367,23,ESP
229,Rubén Pena,Osasuna,3.0,0.0,2105,29,ESP
229,Sandro Ramirez,Las Palmas,3.0,0.0,1819,27,ESP
229,Sergio Camello,Rayo Vallecano,3.0,0.0,1668,31,ESP
229,Stefan Mitrovic,Getafe,3.0,0.0,700,11,SRB
229,Tanguy Nianzou,Sevilla,3.0,0.0,315,8,FRA
229,Toni Kroos,Real Madrid,3.0,0.0,2130,33,GER
229,Toni Lato,Mallorca,3.0,0.0,1546,28,ESP
285,Alex Remiro,Real Sociedad,2.0,1.0,3276,37,ESP
285,Álvaro Morata,Atlético de Madrid,2.0,1.0,1909,32,ESP
285,Álvaro Vallés,Las Palmas,2.0,1.0,3264,37,ESP
285,Fabricio Angileri,Getafe,2.0,1.0,160,11,ARG
285,Gonzalo Escalante,Cádiz,2.0,1.0,1702,25,ARG
285,Jon Moncayola,Osasuna,2.0,1.0,1801,33,ESP
285,Jonathan Viera,Almería,2.0,1.0,1541,21,ESP
285,Luca de la Torre,Celta de Vigo,2.0,1.0,1956,31,USA
285,Pepe Reina,Villarreal,2.0,1.0,180,2,ESP
285,Siebe van der Heyden,Mallorca,2.0,1.0,284,6,BEL
285,Vitor Roque,Barcelona,2.0,1.0,319,14,BRA
296,Aihen Munoz,Real Sociedad,2.0,0.0,1120,21,ESP
296,Aitor Fernández,Osasuna,2.0,0.0,550,7,ESP
296,Aleksandar Radovanovic,Almería,2.0,0.0,571,9,SRB
296,Aleksandar Sedlar,Alavés,2.0,0.0,948,11,SRB
296,Álex Centelles,Almería,2.0,0.0,979,14,ESP
296,Alex Sola,Alavés,2.0,0.0,1285,31,ESP
296,Amath Ndiaye,Mallorca,2.0,0.0,388,15,SEN
296,Anastasios Douvikas,Celta de Vigo,2.0,0.0,886,32,GRE
296,Andrés Guardado,Real Betis,2.0,0.0,442,12,MEX
296,Andriy Lunin,Real Madrid,2.0,0.0,1890,21,UKR
296,Anthony Lozano,Almería,2.0,0.0,866,19,HON
296,Aritz Elustondo,Real Sociedad,2.0,0.0,808,15,ESP
296,Artem Dovbyk,Girona,2.0,0.0,2605,36,UKR
296,Arthur Vermeeren,Atlético de Madrid,2.0,0.0,159,5,BEL
296,Ben Brereton Diaz,Villarreal,2.0,0.0,261,14,CHI
296,Borja Iglesias,Real Betis,2.0,0.0,404,11,ESP
296,Borja Mayoral,Getafe,2.0,0.0,2162,27,ESP
296,Brian Ocampo,Cádiz,2.0,0.0,237,13,URU
296,Carlos Dominguez,Celta de Vigo,2.0,0.0,1585,22,ESP
296,Carlos Dotor,Celta de Vigo,2.0,0.0,702,17,ESP
296,Cristhian Mosquera,Valencia CF,2.0,0.0,3074,36,ESP
