Rank,Player,Team,Accurate Long Balls per 90,Successful Long Balls (%),Minutes,Matches,Country
270,Abdon Prats,Mallorca,0.5,53.8,1258,34,ESP
271,Robert Lewandowski,Barcelona,0.5,53.6,2758,35,POL
272,Álvaro Morata,Atlético de Madrid,0.5,50.0,1909,32,ESP
272,Kike Garcia,Alavés,0.5,50.0,1421,33,ESP
274,Abdessamad Ezzalzouli,Real Betis,0.5,38.5,921,28,MAR
275,Roger,Cádiz,0.5,33.3,1367,23,ESP
276,Bryan Zaragoza,Granada CF,0.5,24.3,1640,21,ESP
277,Benito,Las Palmas,0.5,20.0,368,20,ESP
278,Raul Garcia,Osasuna,0.4,75.0,1347,35,ESP
279,Samuel Omorodion,Alavés,0.4,66.7,2003,35,ESP
280,Fran Pérez,Valencia CF,0.4,56.3,2069,32,ESP
280,Jonathan Bamba,Celta de Vigo,0.4,56.3,1993,27,CIV
282,Ayoze Pérez,Real Betis,0.4,52.6,2307,31,ESP
283,Sergio Camello,Rayo Vallecano,0.4,42.1,1668,31,ESP
284,Ruben Sobrino,Cádiz,0.4,33.3,1648,32,ESP
285,Jaime Mata,Getafe,0.4,29.2,1790,35,ESP
286,Álvaro Garcia,Rayo Vallecano,0.4,14.9,2493,32,ESP
287,Jesus Vázquez,Valencia CF,0.4,14.3,705,20,ESP
288,Rodrygo,Real Madrid,0.3,81.8,2388,34,BRA
289,Juanmi Latasa,Getafe,0.3,62.5,1553,32,ESP
290,Jørgen Strand Larsen,Celta de Vigo,0.3,55.6,2887,37,NOR
291,Umar Sadiq,Real Sociedad,0.3,50.0,1074,26,NGA
292,Alberto Moleiro,Las Palmas,0.3,46.7,1807,28,ESP
293,Maximiliano Gomez,Cádiz,0.3,44.4,1157,31,URU
294,Myrto Uzuni,Granada CF,0.3,43.8,2459,34,ALB
295,Luca de la Torre,Celta de Vigo,0.3,41.2,1956,31,USA
296,Marvin Park,Las Palmas,0.3,35.0,1852,31,ESP
297,Robert Navarro,Cádiz,0.3,30.4,1905,28,ESP
298,André Silva,Real Sociedad,0.2,100.0,730,19,POR
298,Roman Yaremchuk,Valencia CF,0.2,100.0,926,25,UKR
300,Cyle Larin,Mallorca,0.2,80.0,1823,35,CAN
301,Christopher Ramos,Cádiz,0.2,60.0,2627,37,ESP
301,Joselu,Real Madrid,0.2,60.0,1676,34,ESP
303,Anastasios Douvikas,Celta de Vigo,0.2,50.0,886,32,GRE
303,Anthony Lozano,Almería,0.2,50.0,866,19,HON
303,Valery Fernández,Girona,0.2,50.0,486,27,ESP
306,Inaki Williams,Athletic Club,0.2,35.0,2855,34,GHA
307,Jorge de Frutos,Rayo Vallecano,0.2,33.3,1542,36,ESP
308,Artem Dovbyk,Girona,0.1,100.0,2605,36,UKR
309,Cristhian Stuani,Girona,0.1,50.0,782,31,URU
310,Hugo Duro,Valencia CF,0.1,40.0,2994,37,ESP
311,Alexander Sørloth,Villarreal,0.1,37.5,2491,34,NOR
311,Youssef En-Nesyri,Sevilla,0.1,37.5,2573,33,MAR
313,Cristian Portu,Girona,0.1,16.7,1271,36,ESP
313,Marc Cardona,Las Palmas,0.1,16.7,724,26,ESP
315,Ante Budimir,Osasuna,0.0,20.0,2449,33,CRO
