Rank,Player,Team,Shots on Target per 90,Shot Accuracy (%),Minutes,Matches,Country
146,Munir El Haddadi,Las Palmas,0.4,27.9,2470,38,MAR
147,Rodri,Real Betis,0.4,27.8,1039,29,ESP
148,Ilias Akhomach,Villarreal,0.4,23.3,1511,31,MAR
148,Lucas Torro,Osasuna,0.4,23.3,1788,28,ESP
150,Suso,Sevilla,0.4,23.1,1514,29,ESP
151,Alejandro Pozo,Almería,0.3,75.0,970,21,ESP
152,Sergio Akieme,Almería,0.3,55.6,1676,19,EQG
153,Alfonso Pedraza,Villarreal,0.3,44.4,1119,19,ESP
153,Marcos Acuna,Sevilla,0.3,44.4,1296,21,ARG
155,Eduardo Camavinga,Real Madrid,0.3,41.2,1824,31,FRA
156,Guido Rodriguez,Real Betis,0.3,38.9,1849,24,ARG
157,David Lopez,Girona,0.3,37.5,1975,25,ESP
157,Enzo Loiodice,Las Palmas,0.3,37.5,1792,34,FRA
157,Juan Miranda,Real Betis,0.3,37.5,1860,25,ESP
160,Étienne Capoue,Villarreal,0.3,35.7,1444,32,FRA
161,Jorge Cuenca,Villarreal,0.3,35.0,1961,29,ESP
161,Marc Roca,Real Betis,0.3,35.0,1986,26,ESP
163,Pepelu,Valencia CF,0.3,34.3,3305,37,ESP
164,Yuri Berchiche,Athletic Club,0.3,33.3,1931,27,ESP
165,Kike Salas,Sevilla,0.3,31.3,1604,23,ESP
166,Aleix Garcia,Girona,0.3,30.8,3201,37,ESP
167,Alberto Moreno,Villarreal,0.3,29.4,1490,27,ESP
168,Gonzalo Melero,Almería,0.3,28.6,1093,28,ESP
168,Jesus Vázquez,Valencia CF,0.3,28.6,705,20,ESP
170,Djibril Sow,Sevilla,0.3,27.8,1469,24,SUI
171,Javier Hernández,Cádiz,0.3,26.7,2517,30,ESP
172,Iker Munoz,Osasuna,0.3,26.1,1856,28,ESP
173,Aurélien Tchouaméni,Real Madrid,0.3,25.9,1987,27,FRA
174,Rubén Alcaraz,Cádiz,0.3,25.0,3138,36,ESP
174,Saul Niguez,Atlético de Madrid,0.3,25.0,1363,34,ESP
176,Javier Munoz,Las Palmas,0.3,23.7,2646,37,ESP
177,Gonzalo Villar,Granada CF,0.3,22.7,1785,35,ESP
178,Jon Guridi,Alavés,0.3,22.2,2697,36,ESP
179,Gerard Gumbau,Granada CF,0.3,20.0,2684,35,ESP
180,Alex Suárez,Las Palmas,0.2,71.4,2566,32,ESP
181,Robin Le Normand,Real Sociedad,0.2,62.5,2473,29,ESP
182,Benat Prados,Athletic Club,0.2,57.1,1450,26,ESP
182,Frenkie de Jong,Barcelona,0.2,57.1,1637,20,NED
184,Cenk Özkacar,Valencia CF,0.2,50.0,1595,23,TUR
184,Daniel Parejo,Villarreal,0.2,50.0,2586,33,ESP
184,Jon Pacheco,Real Sociedad,0.2,50.0,1521,23,ESP
187,Oscar Valentin,Rayo Vallecano,0.2,46.7,2700,34,ESP
188,Chadi Riad,Real Betis,0.2,45.5,2164,26,MAR
189,Maximo Perrone,Las Palmas,0.2,42.9,1626,29,ARG
190,Carl Starfelt,Celta de Vigo,0.2,41.7,2218,27,SWE
190,Nahuel Molina,Atlético de Madrid,0.2,41.7,1855,30,ARG
192,Andoni Gorosabel,Alavés,0.2,40.0,2863,36,ESP
193,Ignasi Miquel,Granada CF,0.2,36.4,2991,34,ESP
193,Lucas Pires,Cádiz,0.2,36.4,1527,28,BRA
193,Manu Morlanes,Mallorca,0.2,36.4,1610,35,ESP
193,Pablo Maffeo,Mallorca,0.2,36.4,1456,22,ARG
197,Ricard Sánchez,Granada CF,0.2,35.7,2298,33,ESP
198,Daley Blind,Girona,0.2,35.3,2971,34,NED
198,Eric Garcia,Girona,0.2,35.3,2697,32,ESP
200,Andreas Christensen,Barcelona,0.2,33.3,1990,30,DEN
200,Oliver Torres,Sevilla,0.2,33.3,1620,27,ESP
200,Oscar Melendo,Granada CF,0.2,33.3,1126,26,ESP
200,Rubén Duarte,Alavés,0.2,33.3,1875,28,ESP
204,Jon Moncayola,Osasuna,0.2,31.3,1801,33,ESP
204,Luis Milla,Getafe,0.2,31.3,2123,27,ESP
206,Rubén Pena,Osasuna,0.2,29.4,2105,29,ESP
207,Jules Koundé,Barcelona,0.2,29.2,2899,35,FRA
208,Aihen Munoz,Real Sociedad,0.2,28.6,1120,21,ESP
208,Yeray Álvarez,Athletic Club,0.2,28.6,1155,19,ESP
210,Alejandro Catena,Osasuna,0.2,27.8,2536,30,ESP
210,Alfonso Espino,Rayo Vallecano,0.2,27.8,2512,31,URU
210,Diego Rico,Getafe,0.2,27.8,2536,32,ESP
213,Adrià Pedrosa,Sevilla,0.2,25.0,1749,31,ESP
213,José Ángel Carmona,Getafe,0.2,25.0,1312,30,ESP
213,Marc Pubill,Almería,0.2,25.0,1889,23,ESP
216,Aimar Oroz,Osasuna,0.2,24.0,2350,33,ESP
217,Unai Nunez,Celta de Vigo,0.2,22.7,2802,34,ESP
218,Germán Pezzella,Real Betis,0.2,21.7,2770,32,ARG
219,Gonzalo Escalante,Cádiz,0.2,21.4,1702,25,ARG
220,Omar Alderete,Getafe,0.2,20.8,2194,31,PAR
221,Oriol Romeu,Barcelona,0.2,20.0,930,28,ESP
221,Saul Coco,Las Palmas,0.2,20.0,2293,30,EQG
223,Sergi Cardona,Las Palmas,0.2,19.2,2816,35,ESP
224,Juanlu Sánchez,Sevilla,0.2,18.2,1174,26,ESP
224,Pep Chavarria,Rayo Vallecano,0.2,18.2,1164,22,ESP
226,Oscar Trejo,Rayo Vallecano,0.2,16.7,1381,31,ARG
227,Nemanja Gudelj,Sevilla,0.2,15.8,1744,22,SRB
228,Unai Lopez,Rayo Vallecano,0.2,15.6,2123,35,ESP
229,Ander Herrera,Athletic Club,0.2,14.3,1023,23,ESP
229,Daniel Ceballos,Real Madrid,0.2,14.3,586,20,ESP
229,Ruben Sobrino,Cádiz,0.2,14.3,1648,32,ESP
232,Raul Garcia,Athletic Club,0.2,10.0,404,20,ESP
233,César Azpilicueta,Atlético de Madrid,0.1,100.0,1421,25,ESP
234,Hugo Guillamon,Valencia CF,0.1,66.7,1305,26,ESP
235,Axel Witsel,Atlético de Madrid,0.1,42.9,2784,35,BEL
236,Ferland Mendy,Real Madrid,0.1,40.0,1725,23,FRA
236,Oscar de Marcos,Athletic Club,0.1,40.0,2261,28,ESP
236,Thierry Correia,Valencia CF,0.1,40.0,2157,31,POR
236,Toni Lato,Mallorca,0.1,40.0,1546,28,ESP
240,Iván Balliu,Rayo Vallecano,0.1,36.4,2876,33,ALB
241,Jaume Costa,Mallorca,0.1,33.3,1681,30,ESP
241,Javi Galán,Real Sociedad,0.1,33.3,1159,19,ESP
243,Abdelkabir Abqar,Alavés,0.1,30.0,2314,27,MAR
243,Isaac Carcelén,Cádiz,0.1,30.0,2609,35,ESP
245,Giovanni González,Mallorca,0.1,28.6,2463,34,URU
245,Jesus Navas,Sevilla,0.1,28.6,2010,29,ESP
245,Julian Araujo,Las Palmas,0.1,28.6,1462,25,MEX
248,Fali,Cádiz,0.1,27.3,2550,30,ESP
249,Iddrisu Baba,Almería,0.1,25.0,1424,25,GHA
249,Matija Nastasic,Mallorca,0.1,25.0,2257,26,SRB
251,Mario Hermoso,Atlético de Madrid,0.1,23.5,2556,31,ESP
252,Edgar González,Almería,0.1,23.1,2528,31,ESP
252,Rafa Marin,Alavés,0.1,23.1,2442,33,ESP
254,Cristhian Mosquera,Valencia CF,0.1,22.2,3074,36,ESP
254,Jesus Areso,Osasuna,0.1,22.2,2661,37,ESP
254,Manuel Sánchez,Celta de Vigo,0.1,22.2,1777,26,ESP
254,Miguel Rubio,Granada CF,0.1,22.2,1559,19,ESP
258,Aitor Paredes,Athletic Club,0.1,21.4,2706,34,ESP
258,Gaston Álvarez,Getafe,0.1,21.4,2535,34,URU
258,Loic Badé,Sevilla,0.1,21.4,2283,28,FRA
258,Marvin Park,Las Palmas,0.1,21.4,1852,31,ESP
262,Koke,Atlético de Madrid,0.1,20.0,2502,35,ESP
262,Nacho Fernandez,Real Madrid,0.1,20.0,1739,29,ESP
262,Stefan Savic,Atlético de Madrid,0.1,20.0,1631,23,MNE
265,Ander Guevara,Alavés,0.1,18.8,2936,37,ESP
266,Inigo Ruiz de Galarreta,Athletic Club,0.1,18.2,2104,29,ESP
266,Iván Alejo,Cádiz,0.1,18.2,1702,30,ESP
268,Abdul Mumin,Rayo Vallecano,0.1,16.7,1695,20,GHA
268,Javi Lopez,Alavés,0.1,16.7,2387,32,ESP
270,César Montes,Almería,0.1,15.4,1792,21,MEX
271,Antonio Blanco,Alavés,0.1,15.0,2436,33,ESP
272,Daniel Rodriguez,Mallorca,0.1,14.8,2632,36,ESP
273,Miguel Gutiérrez,Girona,0.1,14.7,3037,35,ESP
274,Álex Fernández,Cádiz,0.1,14.3,1283,26,ESP
274,Fran Beltrán,Celta de Vigo,0.1,14.3,2438,33,ESP
274,José Copete,Mallorca,0.1,14.3,1335,19,ESP
274,José Giménez,Atlético de Madrid,0.1,14.3,1323,22,URU
278,Samu,Mallorca,0.1,13.6,2305,34,POR
279,David Garcia,Osasuna,0.1,13.3,2336,27,ESP
280,Inigo Martinez,Barcelona,0.1,12.5,1293,20,ESP
280,Nahuel Tenaglia,Alavés,0.1,12.5,1131,25,ARG
280,Ramon Terrats,Villarreal,0.1,12.5,780,19,ESP
283,Francisco Garcia,Real Madrid,0.1,11.1,1396,25,ESP
283,Hamari Traoré,Real Sociedad,0.1,11.1,2296,31,MLI
285,Antonio Rüdiger,Real Madrid,0.1,10.5,2707,33,GER
286,Fran Pérez,Valencia CF,0.1,10.0,2069,32,ESP
286,José Gayà,Valencia CF,0.1,10.0,1797,24,ESP
288,Pablo Torre,Girona,0.1,7.7,690,26,ESP
289,Renato Tapia,Celta de Vigo,0.1,5.3,1337,21,PER
290,Juan Brandariz,Almería,0.0,20.0,2432,31,ESP
291,Djené,Getafe,0.0,16.7,2490,33,TOG
291,Raul Albiol,Villarreal,0.0,16.7,2035,26,ESP
293,Dimitri Foulquier,Valencia CF,0.0,14.3,1833,33,FRA
294,Gabriel Paulista,Atlético de Madrid,0.0,12.5,1806,23,BRA
295,Daniel Vivian,Athletic Club,0.0,9.1,2879,33,ESP
296,Sergio Ruiz,Granada CF,0.0,7.7,2501,35,ESP
297,Johan Mojica,Osasuna,0.0,5.9,2041,30,COL
