Rank,Player,Team,Expected Assists per 90,Actual Assists per 90,Minutes,Matches,Country
177,Gorka Guruzeta,Athletic Club,0.07,0.2,2240,32,ESP
177,Luca de la Torre,Celta de Vigo,0.07,0.2,1956,31,USA
180,Abner,Real Betis,0.07,0.1,1397,23,BRA
180,Anastasios Douvikas,Celta de Vigo,0.07,0.1,886,32,GRE
180,Ander Barrenetxea,Real Sociedad,0.07,0.1,1436,29,ESP
180,Ante Budimir,Osasuna,0.07,0.1,2449,33,CRO
180,Djibril Sow,Sevilla,0.07,0.1,1469,24,SUI
180,Gonzalo Melero,Almería,0.07,0.1,1093,28,ESP
180,Hector Bellerin,Real Betis,0.07,0.1,1714,23,ESP
180,Jaume Costa,Mallorca,0.07,0.1,1681,30,ESP
180,Jørgen Strand Larsen,Celta de Vigo,0.07,0.1,2887,37,NOR
180,Lucas Boye,Granada CF,0.07,0.1,2555,31,ARG
180,Mikel Vesga,Athletic Club,0.07,0.1,1535,27,ESP
180,Sergio Camello,Rayo Vallecano,0.07,0.1,1668,31,ESP
180,Sergio Ruiz,Granada CF,0.07,0.1,2501,35,ESP
180,Vedat Muriqi,Mallorca,0.07,0.1,2329,29,KVX
194,Alejandro Pozo,Almería,0.07,0.0,970,21,ESP
194,Aurélien Tchouaméni,Real Madrid,0.07,0.0,1987,27,FRA
194,Giovanni González,Mallorca,0.07,0.0,2463,34,URU
194,Isi Palazon,Rayo Vallecano,0.07,0.0,2810,37,ESP
194,Iván Balliu,Rayo Vallecano,0.07,0.0,2876,33,ALB
194,Javier Guerra,Valencia CF,0.07,0.0,2502,36,ESP
194,Jorge de Frutos,Rayo Vallecano,0.07,0.0,1542,36,ESP
194,José Luis Morales,Villarreal,0.07,0.0,1037,29,ESP
194,Martin Zubimendi,Real Sociedad,0.07,0.0,2655,31,ESP
194,Rubén Duarte,Alavés,0.07,0.0,1875,28,ESP
194,Santi Comesana,Villarreal,0.07,0.0,1656,27,ESP
205,Cristhian Stuani,Girona,0.06,0.3,782,31,URU
206,Daley Blind,Girona,0.06,0.1,2971,34,NED
206,Étienne Capoue,Villarreal,0.06,0.1,1444,32,FRA
206,Javier Munoz,Las Palmas,0.06,0.1,2646,37,ESP
206,Juan Iglesias,Getafe,0.06,0.1,1413,23,ESP
206,Marc Pubill,Almería,0.06,0.1,1889,23,ESP
206,Mikel Oyarzabal,Real Sociedad,0.06,0.1,2157,33,ESP
206,Pablo Barrios,Atlético de Madrid,0.06,0.1,1556,24,ESP
206,Pablo Maffeo,Mallorca,0.06,0.1,1456,22,ARG
214,Benat Prados,Athletic Club,0.06,0.0,1450,26,ESP
214,Borja Mayoral,Getafe,0.06,0.0,2162,27,ESP
214,Fran Beltrán,Celta de Vigo,0.06,0.0,2438,33,ESP
214,Julian Araujo,Las Palmas,0.06,0.0,1462,25,MEX
214,Maximo Perrone,Las Palmas,0.06,0.0,1626,29,ARG
214,Nahuel Tenaglia,Alavés,0.06,0.0,1131,25,ARG
220,Selim Amallah,Valencia CF,0.05,0.2,597,20,MAR
221,Carlos Benavidez,Alavés,0.05,0.1,1121,29,URU
221,Raul Garcia,Osasuna,0.05,0.1,1347,35,ESP
223,Abdessamad Ezzalzouli,Real Betis,0.05,0.0,921,28,MAR
223,Ander Guevara,Alavés,0.05,0.0,2936,37,ESP
223,Christopher Ramos,Cádiz,0.05,0.0,2627,37,ESP
223,Leo Baptistao,Almería,0.05,0.0,1843,32,BRA
223,Nemanja Maksimovic,Getafe,0.05,0.0,3272,37,SRB
223,Renato Tapia,Celta de Vigo,0.05,0.0,1337,21,PER
223,Rubén Alcaraz,Cádiz,0.05,0.0,3138,36,ESP
230,Alejandro Catena,Osasuna,0.04,0.1,2536,30,ESP
230,Andreas Christensen,Barcelona,0.04,0.1,1990,30,DEN
230,Carlos Neva,Granada CF,0.04,0.1,3152,36,ESP
230,Inigo Lekue,Athletic Club,0.04,0.1,2001,27,ESP
230,Nacho Fernandez,Real Madrid,0.04,0.1,1739,29,ESP
235,Anthony Lozano,Almería,0.04,0.0,866,19,HON
235,Antonio Blanco,Alavés,0.04,0.0,2436,33,ESP
235,David Garcia,Osasuna,0.04,0.0,2336,27,ESP
235,Dimitri Foulquier,Valencia CF,0.04,0.0,1833,33,FRA
235,Eric Garcia,Girona,0.04,0.0,2697,32,ESP
235,Ferland Mendy,Real Madrid,0.04,0.0,1725,23,FRA
235,Guido Rodriguez,Real Betis,0.04,0.0,1849,24,ARG
235,Hugo Guillamon,Valencia CF,0.04,0.0,1305,26,ESP
235,Isaac Carcelén,Cádiz,0.04,0.0,2609,35,ESP
235,Kike Salas,Sevilla,0.04,0.0,1604,23,ESP
235,Kiko,Villarreal,0.04,0.0,1579,23,ESP
235,Mario Hermoso,Atlético de Madrid,0.04,0.0,2556,31,ESP
235,Martin Valjent,Mallorca,0.04,0.0,2354,28,SVK
235,Maximiliano Gomez,Cádiz,0.04,0.0,1157,31,URU
235,Pathé Ciss,Rayo Vallecano,0.04,0.0,1658,31,SEN
235,Samu,Mallorca,0.04,0.0,2305,34,POR
251,Antonio Raillo,Mallorca,0.03,0.1,2198,26,ESP
251,Benat Turrientes,Real Sociedad,0.03,0.1,1688,29,ESP
251,Cyle Larin,Mallorca,0.03,0.1,1823,35,CAN
251,Igor Zubeldia,Real Sociedad,0.03,0.1,2523,30,ESP
251,José Copete,Mallorca,0.03,0.1,1335,19,ESP
251,Juan Cruz,Osasuna,0.03,0.1,1663,26,ESP
251,Raul de Tomas,Rayo Vallecano,0.03,0.1,1277,25,ESP
251,Youssef En-Nesyri,Sevilla,0.03,0.1,2573,33,MAR
259,André Silva,Real Sociedad,0.03,0.0,730,19,POR
259,Antonio Rüdiger,Real Madrid,0.03,0.0,2707,33,GER
259,Boubakary Soumaré,Sevilla,0.03,0.0,2286,28,FRA
259,Dion Lopy,Almería,0.03,0.0,1917,30,SEN
259,Iddrisu Baba,Almería,0.03,0.0,1424,25,GHA
259,Ignasi Miquel,Granada CF,0.03,0.0,2991,34,ESP
259,Inigo Martinez,Barcelona,0.03,0.0,1293,20,ESP
259,Jorge Cuenca,Villarreal,0.03,0.0,1961,29,ESP
259,Lucas Torro,Osasuna,0.03,0.0,1788,28,ESP
259,Matija Nastasic,Mallorca,0.03,0.0,2257,26,SRB
259,Mika Mármol,Las Palmas,0.03,0.0,3181,36,ESP
259,Omar Alderete,Getafe,0.03,0.0,2194,31,PAR
259,Raul Albiol,Villarreal,0.03,0.0,2035,26,ESP
259,Robin Le Normand,Real Sociedad,0.03,0.0,2473,29,ESP
259,Samuel Omorodion,Alavés,0.03,0.0,2003,35,ESP
259,Stefan Savic,Atlético de Madrid,0.03,0.0,1631,23,MNE
259,Unai Nunez,Celta de Vigo,0.03,0.0,2802,34,ESP
259,Yeray Álvarez,Athletic Club,0.03,0.0,1155,19,ESP
277,Hugo Duro,Valencia CF,0.02,0.1,2994,37,ESP
277,Jon Pacheco,Real Sociedad,0.02,0.1,1521,23,ESP
277,Nemanja Gudelj,Sevilla,0.02,0.1,1744,22,SRB
280,Alex Suárez,Las Palmas,0.02,0.0,2566,32,ESP
280,Cenk Özkacar,Valencia CF,0.02,0.0,1595,23,TUR
280,César Montes,Almería,0.02,0.0,1792,21,MEX
280,Daniel Vivian,Athletic Club,0.02,0.0,2879,33,ESP
280,David Lopez,Girona,0.02,0.0,1975,25,ESP
280,Djené,Getafe,0.02,0.0,2490,33,TOG
280,Florian Lejeune,Rayo Vallecano,0.02,0.0,3328,37,FRA
280,Gabriel Paulista,Atlético de Madrid,0.02,0.0,1806,23,BRA
280,Iker Munoz,Osasuna,0.02,0.0,1856,28,ESP
280,Jesus Vázquez,Valencia CF,0.02,0.0,705,20,ESP
280,Juan Brandariz,Almería,0.02,0.0,2432,31,ESP
280,Loic Badé,Sevilla,0.02,0.0,2283,28,FRA
280,Oscar Valentin,Rayo Vallecano,0.02,0.0,2700,34,ESP
280,Pau Cubarsi,Barcelona,0.02,0.0,1562,19,ESP
280,Roman Yaremchuk,Valencia CF,0.02,0.0,926,25,UKR
295,Abdelkabir Abqar,Alavés,0.01,0.0,2314,27,MAR
295,Abdul Mumin,Rayo Vallecano,0.01,0.0,1695,20,GHA
295,Aitor Paredes,Athletic Club,0.01,0.0,2706,34,ESP
295,Aridane Hernández,Rayo Vallecano,0.01,0.0,1691,19,EQG
295,Axel Witsel,Atlético de Madrid,0.01,0.0,2784,35,BEL
295,Carlos Dominguez,Celta de Vigo,0.01,0.0,1585,22,ESP
295,Chadi Riad,Real Betis,0.01,0.0,2164,26,MAR
295,Edgar González,Almería,0.01,0.0,2528,31,ESP
295,Fali,Cádiz,0.01,0.0,2550,30,ESP
295,Gaston Álvarez,Getafe,0.01,0.0,2535,34,URU
295,Germán Pezzella,Real Betis,0.01,0.0,2770,32,ARG
295,Jorge Herrando,Osasuna,0.01,0.0,1644,19,ESP
295,Miguel Rubio,Granada CF,0.01,0.0,1559,19,ESP
295,Omar Mascarell,Mallorca,0.01,0.0,1573,29,EQG
295,Rafa Marin,Alavés,0.01,0.0,2442,33,ESP
295,Saul Coco,Las Palmas,0.01,0.0,2293,30,EQG
295,Sergio Ramos,Sevilla,0.01,0.0,2518,28,ESP
295,Victor Chust,Cádiz,0.01,0.0,1870,22,ESP
313,Alex Remiro,Real Sociedad,0.0,0.0,3276,37,ESP
313,Álvaro Vallés,Las Palmas,0.0,0.0,3264,37,ESP
313,Andriy Lunin,Real Madrid,0.0,0.0,1890,21,UKR
313,Antonio Sivera,Alavés,0.0,0.0,3060,34,ESP
313,Carl Starfelt,Celta de Vigo,0.0,0.0,2218,27,SWE
313,Cristhian Mosquera,Valencia CF,0.0,0.0,3074,36,ESP
313,David Soria,Getafe,0.0,0.0,3414,38,ESP
313,Filip Jörgensen,Villarreal,0.0,0.0,3240,36,DEN
313,Giorgi Mamardashvili,Valencia CF,0.0,0.0,3285,37,GEO
313,Jan Oblak,Atlético de Madrid,0.0,0.0,3420,38,SVN
313,Jeremias Ledesma,Cádiz,0.0,0.0,3049,34,ARG
313,José Giménez,Atlético de Madrid,0.0,0.0,1323,22,URU
313,Luis Maximiano,Almería,0.0,0.0,2970,33,POR
313,Marc-Andre ter Stegen,Barcelona,0.0,0.0,2520,28,GER
313,Ørjan Håskjold Nyland,Sevilla,0.0,0.0,2160,24,NOR
313,Paulo Gazzaniga,Girona,0.0,0.0,3420,38,ARG
313,Predrag Rajkovic,Mallorca,0.0,0.0,3240,36,SRB
313,Rui Silva,Real Betis,0.0,0.0,2475,28,POR
313,Sergio Herrera,Osasuna,0.0,0.0,2870,32,ESP
313,Stole Dimitrievski,Rayo Vallecano,0.0,0.0,3330,37,MKD
313,Unai Simon,Athletic Club,0.0,0.0,3184,36,ESP
313,Vicente Guaita,Celta de Vigo,0.0,0.0,2402,27,ESP
