Rank,Player,Team,Clearances per 90,Total Clearances,Minutes,Matches,Country
129,Iddrisu Baba,Almería,1.6,25.0,1424,25,GHA
130,Christopher Ramos,Cádiz,1.5,43.0,2627,37,ESP
131,Nemanja Maksimovic,Getafe,1.5,55.0,3272,37,SRB
132,Sergio Ruiz,Granada CF,1.5,42.0,2501,35,ESP
133,Lucas Robertone,Almería,1.5,40.0,2391,33,ARG
134,Joao Cancelo,Barcelona,1.5,42.0,2506,32,POR
135,Cristhian Stuani,Girona,1.5,13.0,782,31,URU
136,José Ángel Carmona,Getafe,1.5,22.0,1312,30,ESP
137,Oscar de Marcos,Athletic Club,1.5,37.0,2261,28,ESP
138,Ander Herrera,Athletic Club,1.5,17.0,1023,23,ESP
139,Alejandro Pozo,Almería,1.5,16.0,970,21,ESP
140,Marcos Acuna,Sevilla,1.5,21.0,1296,21,ARG
141,Frenkie de Jong,Barcelona,1.5,27.0,1637,20,NED
142,Aleix Garcia,Girona,1.4,49.0,3201,37,ESP
143,Jesus Areso,Osasuna,1.4,41.0,2661,37,ESP
144,Javier Guerra,Valencia CF,1.4,40.0,2502,36,ESP
145,Rubén Alcaraz,Cádiz,1.4,49.0,3138,36,ESP
146,Étienne Capoue,Villarreal,1.4,23.0,1444,32,FRA
147,Johan Mojica,Osasuna,1.4,32.0,2041,30,COL
148,Nahuel Molina,Atlético de Madrid,1.4,28.0,1855,30,ARG
149,Rubén Pena,Osasuna,1.4,33.0,2105,29,ESP
150,Toni Lato,Mallorca,1.4,24.0,1546,28,ESP
151,Santi Comesana,Villarreal,1.4,25.0,1656,27,ESP
152,Andriy Lunin,Real Madrid,1.4,29.0,1890,21,UKR
153,Anthony Lozano,Almería,1.4,13.0,866,19,HON
154,Pablo Ibánez,Osasuna,1.3,16.0,1141,33,ESP
155,Vicente Guaita,Celta de Vigo,1.3,35.0,2402,27,ESP
156,Pablo Barrios,Atlético de Madrid,1.3,23.0,1556,24,ESP
157,Javi Galán,Real Sociedad,1.3,17.0,1159,19,ESP
158,Ander Guevara,Alavés,1.2,39.0,2936,37,ESP
159,Isi Palazon,Rayo Vallecano,1.2,36.0,2810,37,ESP
160,Gonzalo Villar,Granada CF,1.2,24.0,1785,35,ESP
161,Koke,Atlético de Madrid,1.2,32.0,2502,35,ESP
162,Antonio Sivera,Alavés,1.2,41.0,3060,34,ESP
163,Jeremias Ledesma,Cádiz,1.2,39.0,3049,34,ARG
164,Álvaro Morata,Atlético de Madrid,1.2,26.0,1909,32,ESP
165,Juanmi Latasa,Getafe,1.2,21.0,1553,32,ESP
165,Maximo Perrone,Las Palmas,1.2,21.0,1626,29,ARG
167,William Carvalho,Real Betis,1.2,9.0,669,22,POR
168,Alfonso Pedraza,Villarreal,1.2,15.0,1119,19,ESP
169,Alex Remiro,Real Sociedad,1.1,41.0,3276,37,ESP
169,Giorgi Mamardashvili,Valencia CF,1.1,41.0,3285,37,GEO
171,Marcos Llorente,Atlético de Madrid,1.1,30.0,2570,37,ESP
172,Manu Morlanes,Mallorca,1.1,19.0,1610,35,ESP
173,Fran Beltrán,Celta de Vigo,1.1,31.0,2438,33,ESP
174,José Maria Callejon,Granada CF,1.1,10.0,794,25,ESP
175,Pablo Maffeo,Mallorca,1.1,18.0,1456,22,ARG
176,Oscar Mingueza,Celta de Vigo,1.0,32.0,3002,38,ESP
177,Antonio Blanco,Alavés,1.0,28.0,2436,33,ESP
178,Daniel Parejo,Villarreal,1.0,29.0,2586,33,ESP
179,Youssef En-Nesyri,Sevilla,1.0,28.0,2573,33,MAR
180,Leo Baptistao,Almería,1.0,20.0,1843,32,BRA
181,Eduardo Camavinga,Real Madrid,1.0,21.0,1824,31,FRA
182,Vedat Muriqi,Mallorca,1.0,26.0,2329,29,KVX
183,Marc Roca,Real Betis,1.0,21.0,1986,26,ESP
184,Francisco Garcia,Real Madrid,1.0,16.0,1396,25,ESP
185,Federico Valverde,Real Madrid,0.9,30.0,2910,37,URU
186,Stole Dimitrievski,Rayo Vallecano,0.9,35.0,3330,37,MKD
187,Gerard Gumbau,Granada CF,0.9,28.0,2684,35,ESP
188,Abdon Prats,Mallorca,0.9,12.0,1258,34,ESP
189,Alexander Sørloth,Villarreal,0.9,26.0,2491,34,NOR
190,Inaki Williams,Athletic Club,0.9,27.0,2855,34,GHA
191,Álvaro Garcia,Rayo Vallecano,0.9,25.0,2493,32,ESP
192,Anastasios Douvikas,Celta de Vigo,0.9,9.0,886,32,GRE
193,Gorka Guruzeta,Athletic Club,0.9,23.0,2240,32,ESP
194,Sergio Herrera,Osasuna,0.9,30.0,2870,32,ESP
195,Alex Sola,Alavés,0.9,13.0,1285,31,ESP
196,Dion Lopy,Almería,0.9,19.0,1917,30,SEN
197,Gerard Moreno,Villarreal,0.9,23.0,2229,30,ESP
198,Rubén Garcia,Osasuna,0.9,15.0,1549,30,ESP
199,Viktor Tsigankov,Girona,0.9,20.0,2067,30,UKR
200,Benat Turrientes,Real Sociedad,0.9,17.0,1688,29,ESP
201,Carles Alena,Getafe,0.9,10.0,1007,29,ESP
202,Gonzalo Melero,Almería,0.9,11.0,1093,28,ESP
203,Moi Gomez,Osasuna,0.9,21.0,2010,28,ESP
204,Marc Cardona,Las Palmas,0.9,7.0,724,26,ESP
205,Roman Yaremchuk,Valencia CF,0.9,9.0,926,25,UKR
205,Unai Gomez,Athletic Club,0.9,9.0,867,25,ESP
207,Abderrahman Rebbach,Alavés,0.9,7.0,713,23,ALG
208,Ferland Mendy,Real Madrid,0.9,18.0,1725,23,FRA
209,Radamel Falcao,Rayo Vallecano,0.9,4.0,391,22,COL
210,David Soria,Getafe,0.8,32.0,3414,38,ESP
211,Hugo Duro,Valencia CF,0.8,27.0,2994,37,ESP
