Rank,Player,Team,Expected Goals (xG),Actual Goals,Minutes,Matches,Country
137,Alberto Moleiro,Las Palmas,2.0,3.0,1807,28,ESP
138,Germán Pezzella,Real Betis,2.0,1.0,2770,32,ARG
138,Gonzalo Melero,Almería,2.0,1.0,1093,28,ESP
138,Jules Koundé,Barcelona,2.0,1.0,2899,35,FRA
141,Pablo Fornals,Real Betis,1.9,3.0,1153,15,ESP
141,Sergio Ramos,Sevilla,1.9,3.0,2518,28,ESP
143,Santi Comesana,Villarreal,1.9,2.0,1656,27,ESP
144,Daley Blind,Girona,1.9,1.0,2971,34,NED
144,Gonzalo Villar,Granada CF,1.9,1.0,1785,35,ESP
144,Kike Pérez,Rayo Vallecano,1.9,1.0,828,24,ESP
147,Ruben Sobrino,Cádiz,1.9,0.0,1648,32,ESP
148,Aleix Garcia,Girona,1.8,3.0,3201,37,ESP
148,Rodrigo De Paul,Atlético de Madrid,1.8,3.0,2084,34,ARG
150,Sergi Guardiola,Cádiz,1.8,1.0,475,22,ESP
151,Gerard Gumbau,Granada CF,1.8,0.0,2684,35,ESP
152,Daniel Carvajal,Real Madrid,1.7,4.0,2172,28,ESP
153,Moi Gomez,Osasuna,1.7,3.0,2010,28,ESP
153,Sergi Roberto,Barcelona,1.7,3.0,863,14,ESP
155,Asier Villalibre,Athletic Club,1.7,2.0,503,18,ESP
155,José Arnáiz,Osasuna,1.7,2.0,922,26,ESP
157,Oscar Valentin,Rayo Vallecano,1.7,1.0,2700,34,ESP
157,Toni Kroos,Real Madrid,1.7,1.0,2130,33,GER
159,Peter González,Valencia CF,1.7,0.0,646,15,DOM
160,Alex Suárez,Las Palmas,1.6,2.0,2566,32,ESP
160,Joao Cancelo,Barcelona,1.6,2.0,2506,32,POR
160,Yerson Mosquera,Villarreal,1.6,2.0,1228,16,COL
163,Antonio Rüdiger,Real Madrid,1.6,1.0,2707,33,GER
163,Juan Miranda,Real Betis,1.6,1.0,1860,25,ESP
163,Lucas Torro,Osasuna,1.6,1.0,1788,28,ESP
166,Alex Sola,Alavés,1.6,0.0,1285,31,ESP
166,Amath Ndiaye,Mallorca,1.6,0.0,388,15,SEN
166,Maximiliano Gomez,Cádiz,1.6,0.0,1157,31,URU
166,Nemanja Radonjic,Mallorca,1.6,0.0,350,11,SRB
170,Carlos Fernández,Real Sociedad,1.5,2.0,406,10,ESP
170,Oscar Rodriguez,Getafe,1.5,2.0,962,24,ESP
170,Unai Gomez,Athletic Club,1.5,2.0,867,25,ESP
173,Djibril Sow,Sevilla,1.5,1.0,1469,24,SUI
173,Javier Hernández,Cádiz,1.5,1.0,2517,30,ESP
173,Marko Milovanovic,Almería,1.5,1.0,301,11,SRB
173,Pathé Ciss,Rayo Vallecano,1.5,1.0,1658,31,SEN
173,Saul Niguez,Atlético de Madrid,1.5,1.0,1363,34,ESP
173,Sory Kaba,Las Palmas,1.5,1.0,720,17,GUI
173,Yan Couto,Girona,1.5,1.0,2245,34,BRA
180,Matias Arezo,Granada CF,1.5,0.0,359,14,URU
181,Arda Güler,Real Madrid,1.4,6.0,373,10,TUR
182,Darwin Machis,Cádiz,1.4,4.0,782,21,VEN
183,Antonio Raillo,Mallorca,1.4,3.0,2198,26,ESP
183,Lucas Vázquez,Real Madrid,1.4,3.0,1410,29,ESP
185,Bebé,Rayo Vallecano,1.4,2.0,193,19,CPV
185,Daniel Rodriguez,Mallorca,1.4,2.0,2632,36,ESP
185,Rafa Mir,Sevilla,1.4,2.0,382,15,ESP
185,Robin Le Normand,Real Sociedad,1.4,2.0,2473,29,ESP
185,Sheraldo Becker,Real Sociedad,1.4,2.0,772,15,SUR
190,Carl Starfelt,Celta de Vigo,1.4,1.0,2218,27,SWE
190,Ignasi Miquel,Granada CF,1.4,1.0,2991,34,ESP
190,Suso,Sevilla,1.4,1.0,1514,29,ESP
190,Tadeo Allende,Celta de Vigo,1.4,1.0,330,10,ARG
190,Unai Nunez,Celta de Vigo,1.4,1.0,2802,34,ESP
195,Jordi Martin,Getafe,1.4,0.0,574,13,ESP
195,Mario Hermoso,Atlético de Madrid,1.4,0.0,2556,31,ESP
195,Yéremi Pino,Villarreal,1.4,0.0,479,7,ESP
198,Aurélien Tchouaméni,Real Madrid,1.3,3.0,1987,27,FRA
198,Luka Romero,Almería,1.3,3.0,434,13,ARG
200,Ivan Rakitic,Sevilla,1.3,2.0,1425,18,CRO
200,Luka Modric,Real Madrid,1.3,2.0,1685,32,CRO
200,Nahuel Molina,Atlético de Madrid,1.3,2.0,1855,30,ARG
200,Pejino,Las Palmas,1.3,2.0,498,17,ESP
204,Alejandro Catena,Osasuna,1.3,1.0,2536,30,ESP
204,Jon Pacheco,Real Sociedad,1.3,1.0,1521,23,ESP
204,Nacho Vidal,Mallorca,1.3,1.0,506,15,ESP
207,Dion Lopy,Almería,1.3,0.0,1917,30,SEN
207,José Maria Callejon,Granada CF,1.3,0.0,794,25,ESP
209,Jorge Cuenca,Villarreal,1.2,3.0,1961,29,ESP
210,Andreas Christensen,Barcelona,1.2,2.0,1990,30,DEN
210,Matija Nastasic,Mallorca,1.2,2.0,2257,26,SRB
210,Sergio Akieme,Almería,1.2,2.0,1676,19,EQG
213,Aitor Paredes,Athletic Club,1.2,1.0,2706,34,ESP
213,Carles Alena,Getafe,1.2,1.0,1007,29,ESP
213,Carles Pérez,Celta de Vigo,1.2,1.0,768,16,ESP
213,Jesus Vázquez,Valencia CF,1.2,1.0,705,20,ESP
213,Unai Lopez,Rayo Vallecano,1.2,1.0,2123,35,ESP
218,Benat Turrientes,Real Sociedad,1.2,0.0,1688,29,ESP
218,Loic Badé,Sevilla,1.2,0.0,2283,28,FRA
218,Luiz Henrique,Real Betis,1.2,0.0,611,14,BRA
218,Mariano Diaz,Sevilla,1.2,0.0,239,9,DOM
218,Omar Alderete,Getafe,1.2,0.0,2194,31,PAR
223,Iker Munoz,Osasuna,1.1,4.0,1856,28,ESP
224,Marc Roca,Real Betis,1.1,2.0,1986,26,ESP
225,Fran Pérez,Valencia CF,1.1,1.0,2069,32,ESP
225,Johnny,Real Betis,1.1,1.0,1331,17,USA
225,Samu,Mallorca,1.1,1.0,2305,34,POR
225,Saul Coco,Las Palmas,1.1,1.0,2293,30,EQG
229,Jhon Solis,Girona,1.1,0.0,369,18,COL
229,Rodri,Real Betis,1.1,0.0,1039,29,ESP
229,Rubén Pena,Osasuna,1.1,0.0,2105,29,ESP
232,Carlos Benavidez,Alavés,1.0,3.0,1121,29,URU
232,Ricard Sánchez,Granada CF,1.0,3.0,2298,33,ESP
234,Axel Witsel,Atlético de Madrid,1.0,2.0,2784,35,BEL
234,Erik Lamela,Sevilla,1.0,2.0,459,13,ARG
236,Étienne Capoue,Villarreal,1.0,1.0,1444,32,FRA
236,Hugo Álvarez,Celta de Vigo,1.0,1.0,763,12,ESP
236,Luis Hernández,Cádiz,1.0,1.0,722,9,ESP
236,Pep Chavarria,Rayo Vallecano,1.0,1.0,1164,22,ESP
240,Alfonso Espino,Rayo Vallecano,1.0,0.0,2512,31,URU
240,David Alaba,Real Madrid,1.0,0.0,1156,14,AUT
240,David Garcia,Osasuna,1.0,0.0,2336,27,ESP
240,Johan Mojica,Osasuna,1.0,0.0,2041,30,COL
240,Juan Brandariz,Almería,1.0,0.0,2432,31,ESP
240,Lucas Robertone,Almería,1.0,0.0,2391,33,ARG
240,Manu Morlanes,Mallorca,1.0,0.0,1610,35,ESP
240,Marvin Park,Las Palmas,1.0,0.0,1852,31,ESP
240,Renato Tapia,Celta de Vigo,1.0,0.0,1337,21,PER
249,Kike Salas,Sevilla,0.9,3.0,1604,23,ESP
