Rank,Player,Team,Tackles per 90,Tackle Success Rate (%),Minutes,Matches,Country
300,Robert Lewandowski,Barcelona,0.2,62.5,2758,35,POL
301,Ezequiel Ávila,Real Betis,0.2,60.0,1166,23,ARG
302,Samuel Omorodion,Alavés,0.2,57.1,2003,35,ESP
303,Borja Mayoral,Getafe,0.2,55.6,2162,27,ESP
304,Iago Aspas,Celta de Vigo,0.2,54.5,2715,35,ESP
304,Mason Greenwood,Getafe,0.2,54.5,2667,33,ENG
304,Vedat Muriqi,Mallorca,0.2,54.5,2329,29,KVX
307,Hugo Duro,Valencia CF,0.2,50.0,2994,37,ESP
307,Joselu,Real Madrid,0.2,50.0,1676,34,ESP
309,Dodi Lukebakio,Sevilla,0.2,40.0,1124,23,BEL
309,Memphis Depay,Atlético de Madrid,0.2,40.0,888,23,NED
309,Roman Yaremchuk,Valencia CF,0.2,40.0,926,25,UKR
312,Iker Muniain,Athletic Club,0.2,20.0,585,20,ESP
313,Paulo Gazzaniga,Girona,0.1,100.0,3420,38,ARG
313,Sergio Herrera,Osasuna,0.1,100.0,2870,32,ESP
315,Artem Dovbyk,Girona,0.1,75.0,2605,36,UKR
315,Giorgi Mamardashvili,Valencia CF,0.1,75.0,3285,37,GEO
317,Álvaro Vallés,Las Palmas,0.1,66.7,3264,37,ESP
318,Alexander Sørloth,Villarreal,0.1,50.0,2491,34,NOR
319,Willian José,Real Betis,0.1,42.9,1978,33,BRA
320,Jeremias Ledesma,Cádiz,0.0,100.0,3049,34,ARG
320,Stole Dimitrievski,Rayo Vallecano,0.0,100.0,3330,37,MKD
320,Vicente Guaita,Celta de Vigo,0.0,100.0,2402,27,ESP
323,Predrag Rajkovic,Mallorca,0.0,50.0,3240,36,SRB
323,Unai Simon,Athletic Club,0.0,50.0,3184,36,ESP
325,Filip Jörgensen,Villarreal,0.0,33.3,3240,36,DEN
