Rank,Player,Team,Chances Created,Chances Created per 90,Minutes,Matches,Country
142,Kike Garcia,Alavés,18.0,1.1,1421,33,ESP
144,Jaime Mata,Getafe,18.0,0.9,1790,35,ESP
145,Samuel Omorodion,Alavés,18.0,0.8,2003,35,ESP
145,Thierry Correia,Valencia CF,18.0,0.8,2157,31,POR
145,Yangel Herrera,Girona,18.0,0.8,2120,29,VEN
148,Fran Beltrán,Celta de Vigo,18.0,0.7,2438,33,ESP
148,Myrto Uzuni,Granada CF,18.0,0.7,2459,34,ALB
150,Juanlu Sánchez,Sevilla,17.0,1.3,1174,26,ESP
151,Damian Suarez,Getafe,17.0,1.2,1306,16,URU
152,Jorge de Frutos,Rayo Vallecano,17.0,1.0,1542,36,ESP
153,Sergio Akieme,Almería,17.0,0.9,1676,19,EQG
154,Inigo Lekue,Athletic Club,17.0,0.8,2001,27,ESP
154,Luca de la Torre,Celta de Vigo,17.0,0.8,1956,31,USA
154,Rubén Duarte,Alavés,17.0,0.8,1875,28,ESP
157,Isaac Carcelén,Cádiz,17.0,0.6,2609,35,ESP
157,Mario Hermoso,Atlético de Madrid,17.0,0.6,2556,31,ESP
159,Daley Blind,Girona,17.0,0.5,2971,34,NED
160,José Maria Callejon,Granada CF,16.0,1.8,794,25,ESP
161,Alberto Moreno,Villarreal,16.0,1.0,1490,27,ESP
161,Francisco Garcia,Real Madrid,16.0,1.0,1396,25,ESP
161,Julian Araujo,Las Palmas,16.0,1.0,1462,25,MEX
164,Manu Morlanes,Mallorca,16.0,0.9,1610,35,ESP
164,Pablo Barrios,Atlético de Madrid,16.0,0.9,1556,24,ESP
166,Iván Alejo,Cádiz,16.0,0.8,1702,30,ESP
167,Martin Zubimendi,Real Sociedad,16.0,0.5,2655,31,ESP
168,Hugo Sotelo,Celta de Vigo,15.0,1.9,718,17,ESP
169,Rodri,Real Betis,15.0,1.3,1039,29,ESP
170,César Azpilicueta,Atlético de Madrid,15.0,1.0,1421,25,ESP
171,Djibril Sow,Sevilla,15.0,0.9,1469,24,SUI
172,Hector Bellerin,Real Betis,15.0,0.8,1714,23,ESP
173,Álvaro Morata,Atlético de Madrid,15.0,0.7,1909,32,ESP
174,Andoni Gorosabel,Alavés,15.0,0.5,2863,36,ESP
175,José Arnáiz,Osasuna,14.0,1.4,922,26,ESP
176,Abdon Prats,Mallorca,14.0,1.0,1258,34,ESP
177,Saul Niguez,Atlético de Madrid,14.0,0.9,1363,34,ESP
178,Dimitri Foulquier,Valencia CF,14.0,0.7,1833,33,FRA
178,Gonzalo Villar,Granada CF,14.0,0.7,1785,35,ESP
178,Yuri Berchiche,Athletic Club,14.0,0.7,1931,27,ESP
181,Christopher Ramos,Cádiz,14.0,0.5,2627,37,ESP
181,Javi Lopez,Alavés,14.0,0.5,2387,32,ESP
