Rank,Player,Team,Accurate Passes per 90,Pass Success (%),Minutes,Matches,Country
131,Marcos Acuna,Sevilla,35.5,79.7,1296,21,ARG
132,Djibril Sow,Sevilla,35.4,85.8,1469,24,SUI
133,Lamine Yamal,Barcelona,35.4,84.1,2197,37,ESP
134,Julian Araujo,Las Palmas,35.4,83.3,1462,25,MEX
135,Brahim Diaz,Real Madrid,35.2,87.1,1551,31,MAR
136,Juanlu Sánchez,Sevilla,35.2,83.2,1174,26,ESP
137,Antoine Griezmann,Atlético de Madrid,34.9,82.7,2654,33,FRA
138,Gerard Gumbau,Granada CF,34.7,77.5,2684,35,ESP
139,Dion Lopy,Almería,34.6,85.0,1917,30,SEN
140,Javi Galán,Real Sociedad,34.6,81.8,1159,19,ESP
141,Iddrisu Baba,Almería,34.2,83.6,1424,25,GHA
142,Javier Munoz,Las Palmas,34.1,81.9,2646,37,ESP
143,Brais Méndez,Real Sociedad,34.0,81.0,2420,32,ESP
144,Ander Guevara,Alavés,33.9,76.0,2936,37,ESP
145,Oscar Valentin,Rayo Vallecano,33.4,81.7,2700,34,ESP
146,Samuel Dias Lino,Atlético de Madrid,33.2,83.3,2087,34,BRA
147,Juan Cruz,Osasuna,33.1,81.5,1663,26,ESP
148,Jesus Navas,Sevilla,33.0,78.4,2010,29,ESP
149,Valery Fernández,Girona,32.8,89.4,486,27,ESP
150,Abdul Mumin,Rayo Vallecano,32.7,80.2,1695,20,GHA
151,Rodrygo,Real Madrid,32.6,89.9,2388,34,BRA
152,Thierry Correia,Valencia CF,32.4,76.3,2157,31,POR
153,Hector Bellerin,Real Betis,32.2,79.9,1714,23,ESP
153,Jorge Herrando,Osasuna,32.2,79.9,1644,19,ESP
155,Fermin Lopez,Barcelona,32.1,85.0,1444,31,ESP
156,Samu,Mallorca,32.1,77.8,2305,34,POR
157,Alejandro Pozo,Almería,32.0,76.8,970,21,ESP
158,Benat Turrientes,Real Sociedad,31.8,87.2,1688,29,ESP
159,Aimar Oroz,Osasuna,31.8,82.2,2350,33,ESP
160,Abner,Real Betis,31.8,81.0,1397,23,BRA
161,José Gayà,Valencia CF,31.5,79.2,1797,24,ESP
162,Aihen Munoz,Real Sociedad,31.4,77.3,1120,21,ESP
163,Matija Nastasic,Mallorca,31.3,80.0,2257,26,SRB
164,Raphinha,Barcelona,31.2,80.9,1370,28,BRA
165,Marcos Llorente,Atlético de Madrid,31.1,83.3,2570,37,ESP
166,Gonzalo Melero,Almería,31.1,82.9,1093,28,ESP
167,Rafa Marin,Alavés,31.1,82.8,2442,33,ESP
168,Gerard Moreno,Villarreal,30.9,79.5,2229,30,ESP
169,Johan Mojica,Osasuna,30.7,77.0,2041,30,COL
170,Joao Félix,Barcelona,30.6,83.7,1542,30,POR
171,Martin Valjent,Mallorca,30.6,81.5,2354,28,SVK
172,Oscar Rodriguez,Getafe,30.5,77.4,962,24,ESP
173,Viktor Tsigankov,Girona,30.4,83.1,2067,30,UKR
174,Lucas Torro,Osasuna,30.4,76.1,1788,28,ESP
175,José Copete,Mallorca,30.1,78.1,1335,19,ESP
176,Alberto Moreno,Villarreal,30.0,83.5,1490,27,ESP
177,Alfonso Espino,Rayo Vallecano,29.9,75.1,2512,31,URU
178,José Maria Callejon,Granada CF,29.8,82.4,794,25,ESP
179,Iago Aspas,Celta de Vigo,29.8,78.4,2715,35,ESP
180,Kike Pérez,Rayo Vallecano,29.7,79.8,828,24,ESP
181,Antonio Blanco,Alavés,29.7,77.9,2436,33,ESP
182,Benito,Las Palmas,29.6,80.1,368,20,ESP
183,Djené,Getafe,29.5,78.6,2490,33,TOG
184,Marc-Andre ter Stegen,Barcelona,29.0,88.4,2520,28,GER
185,Oihan Sancet,Athletic Club,28.7,82.8,1991,30,ESP
186,Luca de la Torre,Celta de Vigo,28.5,83.3,1956,31,USA
187,Álex Baena,Villarreal,28.5,78.5,2599,34,ESP
188,Alberto Moleiro,Las Palmas,28.3,81.8,1807,28,ESP
189,Gonzalo Escalante,Cádiz,28.3,76.8,1702,25,ARG
190,Fali,Cádiz,28.2,77.3,2550,30,ESP
191,Giovanni González,Mallorca,28.1,77.2,2463,34,URU
192,Rubén Garcia,Osasuna,28.1,72.7,1549,30,ESP
193,Alfonso Pedraza,Villarreal,27.7,78.9,1119,19,ESP
194,Dimitri Foulquier,Valencia CF,27.6,72.9,1833,33,FRA
195,Omar Alderete,Getafe,27.6,65.1,2194,31,PAR
196,Sergi Darder,Mallorca,27.5,79.5,2154,36,ESP
197,Carlos Neva,Granada CF,27.5,76.3,3152,36,ESP
198,Sergi Guardiola,Cádiz,27.5,75.9,475,22,ESP
199,Rodrigo Riquelme,Atlético de Madrid,27.0,79.3,1522,34,ESP
200,Adrià Pedrosa,Sevilla,26.9,78.6,1749,31,ESP
201,Lucas Pires,Cádiz,26.8,77.7,1527,28,BRA
202,Pablo Ibánez,Osasuna,26.5,77.6,1141,33,ESP
203,Carles Alena,Getafe,26.0,81.5,1007,29,ESP
204,Oscar Melendo,Granada CF,25.9,82.0,1126,26,ESP
205,Toni Lato,Mallorca,25.8,77.5,1546,28,ESP
206,Jesus Areso,Osasuna,25.7,80.6,2661,37,ESP
207,Javier Hernández,Cádiz,25.7,73.9,2517,30,ESP
208,Jonathan Bamba,Celta de Vigo,25.6,80.7,1993,27,CIV
209,Arsen Zakharyan,Real Sociedad,25.6,77.1,1229,29,RUS
210,Marc Pubill,Almería,25.6,76.7,1889,23,ESP
211,Sergio Akieme,Almería,25.5,79.8,1676,19,EQG
212,Carlos Benavidez,Alavés,25.5,70.5,1121,29,URU
213,Mason Greenwood,Getafe,25.3,81.8,2667,33,ENG
214,Isi Palazon,Rayo Vallecano,25.3,74.9,2810,37,ESP
215,Ferran Torres,Barcelona,25.2,80.4,1204,29,ESP
216,Iván Balliu,Rayo Vallecano,25.0,77.0,2876,33,ALB
217,Javier Guerra,Valencia CF,25.0,74.1,2502,36,ESP
218,Diego Rico,Getafe,25.0,67.4,2536,32,ESP
219,Sergio Arribas,Almería,24.7,83.1,2055,34,ESP
220,Andoni Gorosabel,Alavés,24.7,82.0,2863,36,ESP
221,Marvin Park,Las Palmas,24.7,79.8,1852,31,ESP
222,Manuel Sánchez,Celta de Vigo,24.7,76.5,1777,26,ESP
223,José Ángel Carmona,Getafe,24.4,76.4,1312,30,ESP
224,Filip Jörgensen,Villarreal,24.3,78.0,3240,36,DEN
225,Sandro Ramirez,Las Palmas,24.2,82.5,1819,27,ESP
226,Jaume Costa,Mallorca,24.2,77.3,1681,30,ESP
227,Gaston Álvarez,Getafe,24.1,76.2,2535,34,URU
228,Paulo Gazzaniga,Girona,24.1,75.9,3420,38,ARG
229,Takefusa Kubo,Real Sociedad,23.9,80.6,2155,30,JPN
230,Abdessamad Ezzalzouli,Real Betis,23.9,72.3,921,28,MAR
231,Robert Navarro,Cádiz,23.6,79.3,1905,28,ESP
232,Alex Remiro,Real Sociedad,23.5,74.9,3276,37,ESP
233,Vinicius Junior,Real Madrid,23.4,78.1,1872,26,BRA
234,Savio,Girona,23.2,83.2,2989,37,BRA
235,Andriy Lunin,Real Madrid,23.1,85.2,1890,21,UKR
236,Nemanja Maksimovic,Getafe,23.1,82.0,3272,37,SRB
237,Ricard Sánchez,Granada CF,23.1,75.7,2298,33,ESP
238,Lucas Ocampos,Sevilla,22.9,73.6,2885,35,ARG
239,Bebé,Rayo Vallecano,22.8,72.1,193,19,CPV
240,Ander Barrenetxea,Real Sociedad,22.7,72.5,1436,29,ESP
241,Nahuel Tenaglia,Alavés,22.5,74.5,1131,25,ARG
242,Ayoze Pérez,Real Betis,22.1,79.7,2307,31,ESP
243,Antonio Sánchez,Mallorca,22.1,73.5,1463,29,ESP
244,Ángel Correa,Atlético de Madrid,22.0,79.5,1525,32,ARG
245,Isaac Carcelén,Cádiz,22.0,74.4,2609,35,ESP
246,Rubén Duarte,Alavés,21.7,70.3,1875,28,ESP
247,Daniel Rodriguez,Mallorca,21.6,77.3,2632,36,ESP
248,Abdelkabir Abqar,Alavés,21.4,72.9,2314,27,MAR
249,José Arnáiz,Osasuna,21.3,81.0,922,26,ESP
250,Ilias Akhomach,Villarreal,21.3,80.6,1511,31,MAR
251,Jon Guridi,Alavés,21.3,79.6,2697,36,ESP
252,Javi Lopez,Alavés,21.1,72.4,2387,32,ESP
253,Rubén Pena,Osasuna,21.1,71.8,2105,29,ESP
254,Marc Cardona,Las Palmas,21.0,76.1,724,26,ESP
255,Sergio Herrera,Osasuna,21.0,61.9,2870,32,ESP
256,Dodi Lukebakio,Sevilla,20.9,84.2,1124,23,BEL
257,Munir El Haddadi,Las Palmas,20.9,80.4,2470,38,MAR
258,Luis Maximiano,Almería,20.9,62.1,2970,33,POR
259,Nico Williams,Athletic Club,20.6,79.2,2280,31,ESP
260,Ruben Sobrino,Cádiz,20.6,76.1,1648,32,ESP
261,Radamel Falcao,Rayo Vallecano,20.5,83.2,391,22,COL
262,Adrián Embarba,Almería,20.1,75.6,2485,36,ESP
263,Rui Silva,Real Betis,20.1,66.0,2475,28,POR
264,Inaki Williams,Athletic Club,19.9,73.7,2855,34,GHA
265,Unai Gomez,Athletic Club,19.8,79.9,867,25,ESP
266,Ezequiel Ávila,Real Betis,19.8,71.7,1166,23,ARG
267,Willian José,Real Betis,19.4,80.1,1978,33,BRA
268,Ianis Hagi,Alavés,19.2,74.2,798,22,ROU
269,Memphis Depay,Atlético de Madrid,19.1,76.1,888,23,NED
270,Juan Iglesias,Getafe,19.0,65.2,1413,23,ESP
271,Jorge de Frutos,Rayo Vallecano,18.7,76.4,1542,36,ESP
272,Alex Berenguer,Athletic Club,18.5,73.2,1581,35,ESP
273,Fran Pérez,Valencia CF,18.4,80.0,2069,32,ESP
274,Sergi Canos,Valencia CF,18.2,69.2,1234,27,ESP
275,Selim Amallah,Valencia CF,18.1,75.0,597,20,MAR
276,Darwin Machis,Cádiz,18.1,71.7,782,21,VEN
