Rank,Player,Team,Big Chances Missed,Shot Conversion Rate (%),Minutes,Matches,Country
162,Mohamed-Ali Cho,Real Sociedad,2.0,0.0,239,11,FRA
162,Pablo Barrios,Atlético de Madrid,2.0,0.0,1556,24,ESP
162,Ruben Sobrino,Cádiz,2.0,0.0,1648,32,ESP
162,Thierry Correia,Valencia CF,2.0,0.0,2157,31,POR
181,Williot Swedberg,Celta de Vigo,1.0,41.7,434,15,SWE
182,Valery Fernández,Girona,1.0,40.0,486,27,ESP
183,Sergi Roberto,Barcelona,1.0,30.0,863,14,ESP
184,Marc Guiu,Barcelona,1.0,25.0,73,3,ESP
185,Sergio Akieme,Almería,1.0,22.2,1676,19,EQG
186,Juanmi,Cádiz,1.0,21.4,872,16,ESP
186,Ricard Sánchez,Granada CF,1.0,21.4,2298,33,ESP
188,Oscar de Marcos,Athletic Club,1.0,20.0,2261,28,ESP
188,Pepelu,Valencia CF,1.0,20.0,3305,37,ESP
190,David Lopez,Girona,1.0,18.8,1975,25,ESP
191,Marc Cardona,Las Palmas,1.0,18.2,724,26,ESP
192,Abdul Mumin,Rayo Vallecano,1.0,16.7,1695,20,GHA
192,Andreas Christensen,Barcelona,1.0,16.7,1990,30,DEN
192,Jon Pacheco,Real Sociedad,1.0,16.7,1521,23,ESP
192,Juan Foyth,Villarreal,1.0,16.7,1063,12,ARG
192,Nahuel Molina,Atlético de Madrid,1.0,16.7,1855,30,ARG
197,Aitor Ruibal,Real Betis,1.0,15.4,1015,18,ESP
198,Jorge Cuenca,Villarreal,1.0,15.0,1961,29,ESP
199,Gaston Álvarez,Getafe,1.0,14.3,2535,34,URU
199,Jesus Vázquez,Valencia CF,1.0,14.3,705,20,ESP
199,Julian Araujo,Las Palmas,1.0,14.3,1462,25,MEX
199,Mouctar Diakhaby,Valencia CF,1.0,14.3,1071,14,GUI
203,Rafa Mir,Sevilla,1.0,13.3,382,15,ESP
204,Bebé,Rayo Vallecano,1.0,12.5,193,19,CPV
204,Bruno Langa,Almería,1.0,12.5,819,11,MOZ
206,Alberto Moreno,Villarreal,1.0,11.8,1490,27,ESP
206,Pejino,Las Palmas,1.0,11.8,498,17,ESP
206,Santi Comesana,Villarreal,1.0,11.8,1656,27,ESP
209,Alfonso Pedraza,Villarreal,1.0,11.1,1119,19,ESP
209,Gavi,Barcelona,1.0,11.1,943,12,ESP
209,Javi Llabrés,Mallorca,1.0,11.1,235,16,ESP
209,Miguel Rubio,Granada CF,1.0,11.1,1559,19,ESP
213,Sergio Ramos,Sevilla,1.0,10.7,2518,28,ESP
214,Javier Guerra,Valencia CF,1.0,9.5,2502,36,ESP
214,Sheraldo Becker,Real Sociedad,1.0,9.5,772,15,SUR
216,Pep Chavarria,Rayo Vallecano,1.0,9.1,1164,22,ESP
217,Hugo Álvarez,Celta de Vigo,1.0,8.3,763,12,ESP
218,Brais Méndez,Real Sociedad,1.0,7.6,2420,32,ESP
219,Aitor Paredes,Athletic Club,1.0,7.1,2706,34,ESP
219,Étienne Capoue,Villarreal,1.0,7.1,1444,32,FRA
219,Gonzalo Escalante,Cádiz,1.0,7.1,1702,25,ARG
219,Oscar Mingueza,Celta de Vigo,1.0,7.1,3002,38,ESP
223,José Arnáiz,Osasuna,1.0,6.9,922,26,ESP
224,Carles Alena,Getafe,1.0,6.3,1007,29,ESP
224,Joao Cancelo,Barcelona,1.0,6.3,2506,32,POR
224,Jon Moncayola,Osasuna,1.0,6.3,1801,33,ESP
224,Saul Niguez,Atlético de Madrid,1.0,6.3,1363,34,ESP
224,Sergi Darder,Mallorca,1.0,6.3,2154,36,ESP
229,Marc Pubill,Almería,1.0,5.0,1889,23,ESP
230,Gonzalo Villar,Granada CF,1.0,4.6,1785,35,ESP
230,Pathé Ciss,Rayo Vallecano,1.0,4.6,1658,31,SEN
230,Samu,Mallorca,1.0,4.6,2305,34,POR
233,Ronald Araujo,Barcelona,1.0,4.4,1994,25,URU
234,Carles Pérez,Celta de Vigo,1.0,4.2,768,16,ESP
234,Jules Koundé,Barcelona,1.0,4.2,2899,35,FRA
236,Suso,Sevilla,1.0,3.9,1514,29,ESP
237,Arsen Zakharyan,Real Sociedad,1.0,3.0,1229,29,RUS
238,Adnan Januzaj,Sevilla,1.0,0.0,187,8,BEL
238,Alejandro Pozo,Almería,1.0,0.0,970,21,ESP
238,Alejo Veliz,Sevilla,1.0,0.0,31,6,ARG
238,Alfonso Espino,Rayo Vallecano,1.0,0.0,2512,31,URU
238,Álvaro Fernández,Granada CF,1.0,0.0,474,13,ESP
238,Aridane Hernández,Rayo Vallecano,1.0,0.0,1691,19,EQG
238,Arnau Martinez,Girona,1.0,0.0,1240,21,ESP
238,Benat Turrientes,Real Sociedad,1.0,0.0,1688,29,ESP
238,Borja Iglesias,Real Betis,1.0,0.0,404,11,ESP
238,Carlos Romero,Villarreal,1.0,0.0,259,7,ESP
238,Cédric Bakambu,Real Betis,1.0,0.0,195,4,COD
