Rank,Player,Team,Expected Assists (xA),Actual Assists,Minutes,Matches,Country
128,Ferran Torres,Barcelona,1.9,2.0,1204,29,ESP
131,Giovanni González,Mallorca,1.9,1.0,2463,34,URU
131,Javier Guerra,Valencia CF,1.9,1.0,2502,36,ESP
133,Moi Gomez,Osasuna,1.9,0.0,2010,28,ESP
133,Yangel Herrera,Girona,1.9,0.0,2120,29,VEN
135,Francisco Garcia,Real Madrid,1.8,5.0,1396,25,ESP
135,Gorka Guruzeta,Athletic Club,1.8,5.0,2240,32,ESP
137,Sergio Ruiz,Granada CF,1.8,4.0,2501,35,ESP
138,Javier Munoz,Las Palmas,1.8,3.0,2646,37,ESP
139,Alberto Moreno,Villarreal,1.8,2.0,1490,27,ESP
139,Ante Budimir,Osasuna,1.8,2.0,2449,33,CRO
139,Eduardo Camavinga,Real Madrid,1.8,2.0,1824,31,FRA
139,Ianis Hagi,Alavés,1.8,2.0,798,22,ROU
139,Sheraldo Becker,Real Sociedad,1.8,2.0,772,15,SUR
139,Vedat Muriqi,Mallorca,1.8,2.0,2329,29,KVX
145,Antonio Sánchez,Mallorca,1.8,1.0,1463,29,ESP
145,Enzo Loiodice,Las Palmas,1.8,1.0,1792,34,FRA
145,Hugo Álvarez,Celta de Vigo,1.8,1.0,763,12,ESP
148,Willian José,Real Betis,1.7,5.0,1978,33,BRA
149,Marc Roca,Real Betis,1.7,2.0,1986,26,ESP
149,Ronald Araujo,Barcelona,1.7,2.0,1994,25,URU
151,Ruben Sobrino,Cádiz,1.7,1.0,1648,32,ESP
152,Abderrahman Rebbach,Alavés,1.7,0.0,713,23,ALG
152,Fran Beltrán,Celta de Vigo,1.7,0.0,2438,33,ESP
154,Álvaro Morata,Atlético de Madrid,1.6,3.0,1909,32,ESP
155,Gonzalo Escalante,Cádiz,1.6,2.0,1702,25,ARG
156,Jaime Mata,Getafe,1.6,1.0,1790,35,ESP
156,José Arnáiz,Osasuna,1.6,1.0,922,26,ESP
156,Memphis Depay,Atlético de Madrid,1.6,1.0,888,23,NED
156,Rubén Alcaraz,Cádiz,1.6,1.0,3138,36,ESP
160,Nemanja Maksimovic,Getafe,1.6,0.0,3272,37,SRB
161,Luca de la Torre,Celta de Vigo,1.5,4.0,1956,31,USA
162,Luiz Henrique,Real Betis,1.5,3.0,611,14,BRA
163,Arnau Martinez,Girona,1.5,2.0,1240,21,ESP
163,Pablo Torre,Girona,1.5,2.0,690,26,ESP
165,Álex Balde,Barcelona,1.5,1.0,1378,18,ESP
165,Rubén Duarte,Alavés,1.5,1.0,1875,28,ESP
167,Ander Guevara,Alavés,1.5,0.0,2936,37,ESP
168,Carlos Neva,Granada CF,1.4,2.0,3152,36,ESP
168,Kike Garcia,Alavés,1.4,2.0,1421,33,ESP
170,Álex Fernández,Cádiz,1.4,1.0,1283,26,ESP
170,Aurélien Tchouaméni,Real Madrid,1.4,1.0,1987,27,FRA
170,Christopher Ramos,Cádiz,1.4,1.0,2627,37,ESP
170,Gavi,Barcelona,1.4,1.0,943,12,ESP
170,José Ángel Carmona,Getafe,1.4,1.0,1312,30,ESP
170,José Maria Callejon,Granada CF,1.4,1.0,794,25,ESP
170,Oscar Rodriguez,Getafe,1.4,1.0,962,24,ESP
177,Juanmi Latasa,Getafe,1.4,0.0,1553,32,ESP
178,Mikel Oyarzabal,Real Sociedad,1.3,3.0,2157,33,ESP
178,Roger,Cádiz,1.3,3.0,1367,23,ESP
180,Borja Mayoral,Getafe,1.3,1.0,2162,27,ESP
180,Sergio Camello,Rayo Vallecano,1.3,1.0,1668,31,ESP
180,Toni Lato,Mallorca,1.3,1.0,1546,28,ESP
183,Fermin Lopez,Barcelona,1.3,0.0,1444,31,ESP
183,Iker Muniain,Athletic Club,1.3,0.0,585,20,ESP
183,Isaac Carcelén,Cádiz,1.3,0.0,2609,35,ESP
183,Santi Comesana,Villarreal,1.3,0.0,1656,27,ESP
187,Marc Pubill,Almería,1.2,3.0,1889,23,ESP
188,Giuliano Simeone,Alavés,1.2,2.0,628,14,ARG
188,Ramon Terrats,Villarreal,1.2,2.0,780,19,ESP
190,Abdon Prats,Mallorca,1.2,1.0,1258,34,ESP
190,Franco Cervi,Celta de Vigo,1.2,1.0,537,17,ARG
190,Hector Bellerin,Real Betis,1.2,1.0,1714,23,ESP
190,Jaume Costa,Mallorca,1.2,1.0,1681,30,ESP
190,Mikel Vesga,Athletic Club,1.2,1.0,1535,27,ESP
190,Pep Chavarria,Rayo Vallecano,1.2,1.0,1164,22,ESP
196,Jorge de Frutos,Rayo Vallecano,1.2,0.0,1542,36,ESP
196,Maximo Perrone,Las Palmas,1.2,0.0,1626,29,ARG
198,Damian Suarez,Getafe,1.1,2.0,1306,16,URU
198,Goncalo Guedes,Villarreal,1.1,2.0,951,17,POR
198,Juanlu Sánchez,Sevilla,1.1,2.0,1174,26,ESP
198,Kieran Tierney,Real Sociedad,1.1,2.0,1243,20,SCO
198,Pablo Ibánez,Osasuna,1.1,2.0,1141,33,ESP
203,Ander Barrenetxea,Real Sociedad,1.1,1.0,1436,29,ESP
203,Antonio Blanco,Alavés,1.1,1.0,2436,33,ESP
203,Djibril Sow,Sevilla,1.1,1.0,1469,24,SUI
203,Dodi Lukebakio,Sevilla,1.1,1.0,1124,23,BEL
203,Facundo Pellistri,Granada CF,1.1,1.0,1220,15,URU
203,Hugo Sotelo,Celta de Vigo,1.1,1.0,718,17,ESP
203,Javi Galán,Real Sociedad,1.1,1.0,1159,19,ESP
203,Mario Hermoso,Atlético de Madrid,1.1,1.0,2556,31,ESP
203,Mika Mármol,Las Palmas,1.1,1.0,3181,36,ESP
212,Darwin Machis,Cádiz,1.1,0.0,782,21,VEN
212,Eric Garcia,Girona,1.1,0.0,2697,32,ESP
214,Isaac Romero,Sevilla,1.0,4.0,1050,14,ESP
215,Alejandro Catena,Osasuna,1.0,3.0,2536,30,ESP
216,Daniel Ceballos,Real Madrid,1.0,2.0,586,20,ESP
216,Johnny,Real Betis,1.0,2.0,1331,17,USA
216,Juan Iglesias,Getafe,1.0,2.0,1413,23,ESP
219,Abner,Real Betis,1.0,1.0,1397,23,BRA
219,Álex Centelles,Almería,1.0,1.0,979,14,ESP
219,Carles Alena,Getafe,1.0,1.0,1007,29,ESP
219,David Garcia,Osasuna,1.0,1.0,2336,27,ESP
219,Étienne Capoue,Villarreal,1.0,1.0,1444,32,FRA
219,Martin Valjent,Mallorca,1.0,1.0,2354,28,SVK
