Rank,Player,Team,Interceptions per 90,Total Interceptions,Minutes,Matches,Country
166,Kieran Tierney,Real Sociedad,0.7,10.0,1243,20,SCO
169,Aihen Munoz,Real Sociedad,0.7,9.0,1120,21,ESP
169,Pablo Ibánez,Osasuna,0.7,9.0,1141,33,ESP
171,Rodri,Real Betis,0.7,8.0,1039,29,ESP
172,Benito,Las Palmas,0.7,3.0,368,20,ESP
172,Radamel Falcao,Rayo Vallecano,0.7,3.0,391,22,COL
172,Raul Garcia,Athletic Club,0.7,3.0,404,20,ESP
175,Florian Lejeune,Rayo Vallecano,0.6,23.0,3328,37,FRA
176,Daley Blind,Girona,0.6,21.0,2971,34,NED
176,Ilkay Gündogan,Barcelona,0.6,21.0,2997,36,GER
178,Alex Suárez,Las Palmas,0.6,18.0,2566,32,ESP
178,Javier Guerra,Valencia CF,0.6,18.0,2502,36,ESP
178,Jesus Areso,Osasuna,0.6,18.0,2661,37,ESP
181,Aimar Oroz,Osasuna,0.6,16.0,2350,33,ESP
181,Koke,Atlético de Madrid,0.6,16.0,2502,35,ESP
181,Luis Rioja,Alavés,0.6,16.0,2511,37,ESP
181,Mikel Merino,Real Sociedad,0.6,16.0,2485,32,ESP
185,Oscar de Marcos,Athletic Club,0.6,15.0,2261,28,ESP
186,Fran Pérez,Valencia CF,0.6,14.0,2069,32,ESP
186,Samuel Dias Lino,Atlético de Madrid,0.6,14.0,2087,34,BRA
188,Enzo Loiodice,Las Palmas,0.6,12.0,1792,34,FRA
188,Juan Cruz,Osasuna,0.6,12.0,1663,26,ESP
188,Luca de la Torre,Celta de Vigo,0.6,12.0,1956,31,USA
191,César Montes,Almería,0.6,11.0,1792,21,MEX
191,José Gayà,Valencia CF,0.6,11.0,1797,24,ESP
193,Joao Félix,Barcelona,0.6,10.0,1542,30,POR
193,Jon Pacheco,Real Sociedad,0.6,10.0,1521,23,ESP
193,Julian Araujo,Las Palmas,0.6,10.0,1462,25,MEX
193,Pablo Maffeo,Mallorca,0.6,10.0,1456,22,ARG
197,Alejandro Pozo,Almería,0.6,7.0,970,21,ESP
197,José Luis Morales,Villarreal,0.6,7.0,1037,29,ESP
197,Nabil Fekir,Real Betis,0.6,7.0,1049,19,FRA
200,Cristhian Stuani,Girona,0.6,5.0,782,31,URU
200,Ianis Hagi,Alavés,0.6,5.0,798,22,ROU
200,José Maria Callejon,Granada CF,0.6,5.0,794,25,ESP
203,Savio,Girona,0.5,18.0,2989,37,BRA
204,Oscar Mingueza,Celta de Vigo,0.5,17.0,3002,38,ESP
205,Axel Witsel,Atlético de Madrid,0.5,16.0,2784,35,BEL
205,Isi Palazon,Rayo Vallecano,0.5,16.0,2810,37,ESP
207,Adrián Embarba,Almería,0.5,15.0,2485,36,ESP
207,Alejandro Catena,Osasuna,0.5,15.0,2536,30,ESP
207,Daniel Rodriguez,Mallorca,0.5,15.0,2632,36,ESP
210,Juan Brandariz,Almería,0.5,14.0,2432,31,ESP
210,Marcos Llorente,Atlético de Madrid,0.5,14.0,2570,37,ESP
212,Álex Baena,Villarreal,0.5,13.0,2599,34,ESP
212,Omar Alderete,Getafe,0.5,13.0,2194,31,PAR
212,Ricard Sánchez,Granada CF,0.5,13.0,2298,33,ESP
215,Inigo Ruiz de Galarreta,Athletic Club,0.5,12.0,2104,29,ESP
215,Ronald Araujo,Barcelona,0.5,12.0,1994,25,URU
215,Viktor Tsigankov,Girona,0.5,12.0,2067,30,UKR
218,Iker Munoz,Osasuna,0.5,11.0,1856,28,ESP
218,Leo Baptistao,Almería,0.5,11.0,1843,32,BRA
218,Moi Gomez,Osasuna,0.5,11.0,2010,28,ESP
218,Rodrigo De Paul,Atlético de Madrid,0.5,11.0,2084,34,ARG
218,Takefusa Kubo,Real Sociedad,0.5,11.0,2155,30,JPN
218,Victor Chust,Cádiz,0.5,11.0,1870,22,ESP
224,Oihan Sancet,Athletic Club,0.5,10.0,1991,30,ESP
224,Sergio Akieme,Almería,0.5,10.0,1676,19,EQG
226,Rodrigo Riquelme,Atlético de Madrid,0.5,9.0,1522,34,ESP
227,Roger,Cádiz,0.5,7.0,1367,23,ESP
228,Pep Chavarria,Rayo Vallecano,0.5,6.0,1164,22,ESP
229,Abdessamad Ezzalzouli,Real Betis,0.5,5.0,921,28,MAR
229,Oscar Rodriguez,Getafe,0.5,5.0,962,24,ESP
231,Darwin Machis,Cádiz,0.5,4.0,782,21,VEN
231,Pablo Torre,Girona,0.5,4.0,690,26,ESP
233,Inaki Williams,Athletic Club,0.4,14.0,2855,34,GHA
234,Ander Guevara,Alavés,0.4,13.0,2936,37,ESP
235,Brais Méndez,Real Sociedad,0.4,12.0,2420,32,ESP
236,Antonio Rüdiger,Real Madrid,0.4,11.0,2707,33,GER
236,Munir El Haddadi,Las Palmas,0.4,11.0,2470,38,MAR
238,Isco,Real Betis,0.4,10.0,2338,29,ESP
238,Javi Lopez,Alavés,0.4,10.0,2387,32,ESP
238,Lucas Boye,Granada CF,0.4,10.0,2555,31,ARG
238,Yan Couto,Girona,0.4,10.0,2245,34,BRA
242,Gerard Moreno,Villarreal,0.4,9.0,2229,30,ESP
242,Nahuel Molina,Atlético de Madrid,0.4,9.0,1855,30,ARG
244,Iván Alejo,Cádiz,0.4,7.0,1702,30,ESP
244,Jorge de Frutos,Rayo Vallecano,0.4,7.0,1542,36,ESP
246,Ander Barrenetxea,Real Sociedad,0.4,6.0,1436,29,ESP
247,Ezequiel Ávila,Real Betis,0.4,5.0,1166,23,ARG
247,Ferran Torres,Barcelona,0.4,5.0,1204,29,ESP
247,Oscar Melendo,Granada CF,0.4,5.0,1126,26,ESP
250,Carles Alena,Getafe,0.4,4.0,1007,29,ESP
251,Abderrahman Rebbach,Alavés,0.4,3.0,713,23,ALG
251,Jesus Vázquez,Valencia CF,0.4,3.0,705,20,ESP
253,Antoine Griezmann,Atlético de Madrid,0.3,10.0,2654,33,FRA
253,Iago Aspas,Celta de Vigo,0.3,10.0,2715,35,ESP
255,Christopher Ramos,Cádiz,0.3,9.0,2627,37,ESP
255,Robert Lewandowski,Barcelona,0.3,9.0,2758,35,POL
257,Rodrygo,Real Madrid,0.3,8.0,2388,34,BRA
258,Alberto Moleiro,Las Palmas,0.3,7.0,1807,28,ESP
259,Benat Turrientes,Real Sociedad,0.3,6.0,1688,29,ESP
259,Gonzalo Villar,Granada CF,0.3,6.0,1785,35,ESP
259,Joselu,Real Madrid,0.3,6.0,1676,34,ESP
259,Oliver Torres,Sevilla,0.3,6.0,1620,27,ESP
263,Alex Berenguer,Athletic Club,0.3,5.0,1581,35,ESP
263,Brahim Diaz,Real Madrid,0.3,5.0,1551,31,MAR
263,Oscar Trejo,Rayo Vallecano,0.3,5.0,1381,31,ARG
263,Raul Garcia,Osasuna,0.3,5.0,1347,35,ESP
263,Suso,Sevilla,0.3,5.0,1514,29,ESP
268,Arsen Zakharyan,Real Sociedad,0.3,4.0,1229,29,RUS
268,Cristian Portu,Girona,0.3,4.0,1271,36,ESP
268,Gonzalo Melero,Almería,0.3,4.0,1093,28,ESP
268,Marcos Acuna,Sevilla,0.3,4.0,1296,21,ARG
272,José Arnáiz,Osasuna,0.3,3.0,922,26,ESP
272,Ramon Terrats,Villarreal,0.3,3.0,780,19,ESP
274,Youssef En-Nesyri,Sevilla,0.2,7.0,2573,33,MAR
275,Vedat Muriqi,Mallorca,0.2,6.0,2329,29,KVX
276,Ante Budimir,Osasuna,0.2,5.0,2449,33,CRO
276,Hugo Duro,Valencia CF,0.2,5.0,2994,37,ESP
276,Jørgen Strand Larsen,Celta de Vigo,0.2,5.0,2887,37,NOR
279,Borja Mayoral,Getafe,0.2,4.0,2162,27,ESP
279,Fermin Lopez,Barcelona,0.2,4.0,1444,31,ESP
279,Jonathan Viera,Almería,0.2,4.0,1541,21,ESP
279,Juanmi Latasa,Getafe,0.2,4.0,1553,32,ESP
279,Mikel Oyarzabal,Real Sociedad,0.2,4.0,2157,33,ESP
279,Sandro Ramirez,Las Palmas,0.2,4.0,1819,27,ESP
285,Bryan Zaragoza,Granada CF,0.2,3.0,1640,21,ESP
285,Maximiliano Gomez,Cádiz,0.2,3.0,1157,31,URU
285,Sergio Camello,Rayo Vallecano,0.2,3.0,1668,31,ESP
288,Anastasios Douvikas,Celta de Vigo,0.2,2.0,886,32,GRE
288,Anthony Lozano,Almería,0.2,2.0,866,19,HON
288,Dodi Lukebakio,Sevilla,0.2,2.0,1124,23,BEL
288,Marc Cardona,Las Palmas,0.2,2.0,724,26,ESP
288,Unai Gomez,Athletic Club,0.2,2.0,867,25,ESP
293,Valery Fernández,Girona,0.2,1.0,486,27,ESP
294,Mason Greenwood,Getafe,0.1,4.0,2667,33,ENG
294,Myrto Uzuni,Granada CF,0.1,4.0,2459,34,ALB
296,Cyle Larin,Mallorca,0.1,3.0,1823,35,CAN
296,Nico Williams,Athletic Club,0.1,3.0,2280,31,ESP
298,Abdon Prats,Mallorca,0.1,2.0,1258,34,ESP
298,Ángel Correa,Atlético de Madrid,0.1,2.0,1525,32,ARG
298,Filip Jörgensen,Villarreal,0.1,2.0,3240,36,DEN
298,Giorgi Mamardashvili,Valencia CF,0.1,2.0,3285,37,GEO
298,Willian José,Real Betis,0.1,2.0,1978,33,BRA
303,André Silva,Real Sociedad,0.1,1.0,730,19,POR
303,Kike Garcia,Alavés,0.1,1.0,1421,33,ESP
303,Memphis Depay,Atlético de Madrid,0.1,1.0,888,23,NED
303,Raul de Tomas,Rayo Vallecano,0.1,1.0,1277,25,ESP
303,Roman Yaremchuk,Valencia CF,0.1,1.0,926,25,UKR
308,Álvaro Morata,Atlético de Madrid,0.0,1.0,1909,32,ESP
308,Rui Silva,Real Betis,0.0,1.0,2475,28,POR
308,Samuel Omorodion,Alavés,0.0,1.0,2003,35,ESP
308,Unai Simon,Athletic Club,0.0,1.0,3184,36,ESP
308,Vinicius Junior,Real Madrid,0.0,1.0,1872,26,BRA
