Rank,Player,Team,Big Chances Created,Total Assists,Minutes,Matches,Country
158,Dion Lopy,Almería,3.0,0.0,1917,30,SEN
158,Fabricio Angileri,Getafe,3.0,0.0,160,11,ARG
158,Lucas Pires,Cádiz,3.0,0.0,1527,28,BRA
158,Santi Comesana,Villarreal,3.0,0.0,1656,27,ESP
158,Yangel Herrera,Girona,3.0,0.0,2120,29,VEN
165,Luca de la Torre,Celta de Vigo,2.0,4.0,1956,31,USA
166,Ander Herrera,Athletic Club,2.0,3.0,1023,23,ESP
166,Javier Munoz,Las Palmas,2.0,3.0,2646,37,ESP
166,Marc Pubill,Almería,2.0,3.0,1889,23,ESP
169,Alberto Moreno,Villarreal,2.0,2.0,1490,27,ESP
169,Andreas Christensen,Barcelona,2.0,2.0,1990,30,DEN
169,Cyle Larin,Mallorca,2.0,2.0,1823,35,CAN
169,Daley Blind,Girona,2.0,2.0,2971,34,NED
169,Daniel Ceballos,Real Madrid,2.0,2.0,586,20,ESP
169,Eduardo Camavinga,Real Madrid,2.0,2.0,1824,31,FRA
169,Ferran Torres,Barcelona,2.0,2.0,1204,29,ESP
169,Ilaix Moriba,Getafe,2.0,2.0,606,14,GUI
169,Inigo Lekue,Athletic Club,2.0,2.0,2001,27,ESP
169,Kieran Tierney,Real Sociedad,2.0,2.0,1243,20,SCO
169,Kike Garcia,Alavés,2.0,2.0,1421,33,ESP
169,Kirian Rodriguez,Las Palmas,2.0,2.0,3217,37,ESP
169,Manu Morlanes,Mallorca,2.0,2.0,1610,35,ESP
169,Marc Roca,Real Betis,2.0,2.0,1986,26,ESP
169,Munir El Haddadi,Las Palmas,2.0,2.0,2470,38,MAR
169,Ramon Terrats,Villarreal,2.0,2.0,780,19,ESP
169,Raul de Tomas,Rayo Vallecano,2.0,2.0,1277,25,ESP
169,Sheraldo Becker,Real Sociedad,2.0,2.0,772,15,SUR
169,Youssef En-Nesyri,Sevilla,2.0,2.0,2573,33,MAR
188,Aitor Ruibal,Real Betis,2.0,1.0,1015,18,ESP
188,Álex Centelles,Almería,2.0,1.0,979,14,ESP
188,Anastasios Douvikas,Celta de Vigo,2.0,1.0,886,32,GRE
188,Ander Barrenetxea,Real Sociedad,2.0,1.0,1436,29,ESP
188,André Almeida,Valencia CF,2.0,1.0,969,18,POR
188,Asier Villalibre,Athletic Club,2.0,1.0,503,18,ESP
188,Benat Turrientes,Real Sociedad,2.0,1.0,1688,29,ESP
188,Borja Iglesias,Real Betis,2.0,1.0,404,11,ESP
188,Borja Mayoral,Getafe,2.0,1.0,2162,27,ESP
188,Boubakary Soumaré,Sevilla,2.0,1.0,2286,28,FRA
188,Carles Pérez,Celta de Vigo,2.0,1.0,768,16,ESP
188,Christopher Ramos,Cádiz,2.0,1.0,2627,37,ESP
188,David Alaba,Real Madrid,2.0,1.0,1156,14,AUT
188,Florian Lejeune,Rayo Vallecano,2.0,1.0,3328,37,FRA
188,Gavi,Barcelona,2.0,1.0,943,12,ESP
188,Hector Bellerin,Real Betis,2.0,1.0,1714,23,ESP
188,Ignasi Miquel,Granada CF,2.0,1.0,2991,34,ESP
188,Isi Palazon,Rayo Vallecano,2.0,1.0,2810,37,ESP
188,Jailson,Celta de Vigo,2.0,1.0,893,14,BRA
188,Jaime Mata,Getafe,2.0,1.0,1790,35,ESP
188,Javier Guerra,Valencia CF,2.0,1.0,2502,36,ESP
188,José Maria Callejon,Granada CF,2.0,1.0,794,25,ESP
188,Juanmi,Cádiz,2.0,1.0,872,16,ESP
188,Luis Milla,Getafe,2.0,1.0,2123,27,ESP
188,Marc Cardona,Las Palmas,2.0,1.0,724,26,ESP
188,Martin Zubimendi,Real Sociedad,2.0,1.0,2655,31,ESP
188,Nacho Fernandez,Real Madrid,2.0,1.0,1739,29,ESP
188,Nemanja Gudelj,Sevilla,2.0,1.0,1744,22,SRB
188,Omar Alderete,Getafe,2.0,1.0,2194,31,PAR
188,Pep Chavarria,Rayo Vallecano,2.0,1.0,1164,22,ESP
188,Pepelu,Valencia CF,2.0,1.0,3305,37,ESP
188,Raul Garcia,Osasuna,2.0,1.0,1347,35,ESP
188,Rubén Alcaraz,Cádiz,2.0,1.0,3138,36,ESP
188,Samuel Omorodion,Alavés,2.0,1.0,2003,35,ESP
188,Sergio Camello,Rayo Vallecano,2.0,1.0,1668,31,ESP
188,Sergio Rodelas,Granada CF,2.0,1.0,122,3,ESP
188,Umar Sadiq,Real Sociedad,2.0,1.0,1074,26,NGA
188,Youssouf Sabaly,Real Betis,2.0,1.0,1048,12,SEN
226,Abderrahman Rebbach,Alavés,2.0,0.0,713,23,ALG
226,Álvaro Fernández,Granada CF,2.0,0.0,474,13,ESP
226,Anthony Lozano,Almería,2.0,0.0,866,19,HON
226,Dimitri Foulquier,Valencia CF,2.0,0.0,1833,33,FRA
226,Erik Lamela,Sevilla,2.0,0.0,459,13,ARG
226,Hannibal Mejbri,Sevilla,2.0,0.0,101,6,TUN
226,Jorge de Frutos,Rayo Vallecano,2.0,0.0,1542,36,ESP
226,Joseba Zaldua,Cádiz,2.0,0.0,709,13,ESP
226,Juanmi Latasa,Getafe,2.0,0.0,1553,32,ESP
226,Julian Araujo,Las Palmas,2.0,0.0,1462,25,MEX
226,Leo Baptistao,Almería,2.0,0.0,1843,32,BRA
226,Miguel Crespo,Rayo Vallecano,2.0,0.0,521,15,POR
226,Paulo Gazzaniga,Girona,2.0,0.0,3420,38,ARG
226,Peter González,Valencia CF,2.0,0.0,646,15,DOM
240,Lucas Boye,Granada CF,1.0,3.0,2555,31,ARG
240,William Carvalho,Real Betis,1.0,3.0,669,22,POR
242,Damian Rodriguez,Celta de Vigo,1.0,2.0,257,5,ESP
242,Gonzalo Escalante,Cádiz,1.0,2.0,1702,25,ARG
242,Hamari Traoré,Real Sociedad,1.0,2.0,2296,31,MLI
242,Héctor Fort,Barcelona,1.0,2.0,320,7,ESP
242,Igor Zubeldia,Real Sociedad,1.0,2.0,2523,30,ESP
242,Juan Iglesias,Getafe,1.0,2.0,1413,23,ESP
242,Pablo Maffeo,Mallorca,1.0,2.0,1456,22,ARG
242,Sergi Roberto,Barcelona,1.0,2.0,863,14,ESP
250,Alberto Mari,Valencia CF,1.0,1.0,264,16,ESP
250,Álex Balde,Barcelona,1.0,1.0,1378,18,ESP
250,Álex Fernández,Cádiz,1.0,1.0,1283,26,ESP
250,Antonio Sánchez,Mallorca,1.0,1.0,1463,29,ESP
250,Aritz Elustondo,Real Sociedad,1.0,1.0,808,15,ESP
250,Aurélien Tchouaméni,Real Madrid,1.0,1.0,1987,27,FRA
