Rank,Player,Team,Fouls Committed per 90,Yellow Cards,Minutes,Matches,Country
115,Ángel Correa,Atlético de Madrid,1.4,3.0,1525,32,ARG
115,Javier Guerra,Valencia CF,1.4,3.0,2502,36,ESP
115,Oihan Sancet,Athletic Club,1.4,3.0,1991,30,ESP
115,Oliver Torres,Sevilla,1.4,3.0,1620,27,ESP
115,Pablo Maffeo,Mallorca,1.4,3.0,1456,22,ARG
120,Aihen Munoz,Real Sociedad,1.4,2.0,1120,21,ESP
120,Memphis Depay,Atlético de Madrid,1.4,2.0,888,23,NED
122,Alberto Moreno,Villarreal,1.4,1.0,1490,27,ESP
122,Rubén Garcia,Osasuna,1.4,1.0,1549,30,ESP
124,Darwin Machis,Cádiz,1.4,0.0,782,21,VEN
124,Lucas Vázquez,Real Madrid,1.4,0.0,1410,29,ESP
126,Abdelkabir Abqar,Alavés,1.3,10.0,2314,27,MAR
126,Boubakary Soumaré,Sevilla,1.3,10.0,2286,28,FRA
128,Cyle Larin,Mallorca,1.3,8.0,1823,35,CAN
128,Matija Nastasic,Mallorca,1.3,8.0,2257,26,SRB
130,Hamari Traoré,Real Sociedad,1.3,7.0,2296,31,MLI
130,Jaume Costa,Mallorca,1.3,7.0,1681,30,ESP
130,Marcos Acuna,Sevilla,1.3,7.0,1296,21,ARG
133,Mason Greenwood,Getafe,1.3,6.0,2667,33,ENG
134,Adrián Embarba,Almería,1.3,5.0,2485,36,ESP
134,Antonio Blanco,Alavés,1.3,5.0,2436,33,ESP
134,David Garcia,Osasuna,1.3,5.0,2336,27,ESP
134,Pablo Barrios,Atlético de Madrid,1.3,5.0,1556,24,ESP
134,Suso,Sevilla,1.3,5.0,1514,29,ESP
139,Antonio Raillo,Mallorca,1.3,4.0,2198,26,ESP
139,Cristian Portu,Girona,1.3,4.0,1271,36,ESP
139,Fran Pérez,Valencia CF,1.3,4.0,2069,32,ESP
139,Iván Balliu,Rayo Vallecano,1.3,4.0,2876,33,ALB
143,Abdon Prats,Mallorca,1.3,3.0,1258,34,ESP
143,Moi Gomez,Osasuna,1.3,3.0,2010,28,ESP
145,Borja Mayoral,Getafe,1.3,2.0,2162,27,ESP
146,Brahim Diaz,Real Madrid,1.3,0.0,1551,31,MAR
147,Robin Le Normand,Real Sociedad,1.2,13.0,2473,29,ESP
148,Isco,Real Betis,1.2,10.0,2338,29,ESP
149,Aitor Paredes,Athletic Club,1.2,7.0,2706,34,ESP
149,Rodrigo De Paul,Atlético de Madrid,1.2,7.0,2084,34,ARG
149,Vinicius Junior,Real Madrid,1.2,7.0,1872,26,BRA
152,Daniel Vivian,Athletic Club,1.2,6.0,2879,33,ESP
152,Javier Munoz,Las Palmas,1.2,6.0,2646,37,ESP
154,José Giménez,Atlético de Madrid,1.2,5.0,1323,22,URU
154,Jude Bellingham,Real Madrid,1.2,5.0,2323,28,ENG
154,Martin Zubimendi,Real Sociedad,1.2,5.0,2655,31,ESP
154,Miguel Rubio,Granada CF,1.2,5.0,1559,19,ESP
158,Andreas Christensen,Barcelona,1.2,4.0,1990,30,DEN
158,Hugo Duro,Valencia CF,1.2,4.0,2994,37,ESP
158,Unai Nunez,Celta de Vigo,1.2,4.0,2802,34,ESP
161,Alexander Sørloth,Villarreal,1.2,3.0,2491,34,NOR
161,Dimitri Foulquier,Valencia CF,1.2,3.0,1833,33,FRA
161,Joao Félix,Barcelona,1.2,3.0,1542,30,POR
161,Rubén Pena,Osasuna,1.2,3.0,2105,29,ESP
165,Jon Moncayola,Osasuna,1.2,2.0,1801,33,ESP
165,José Gayà,Valencia CF,1.2,2.0,1797,24,ESP
165,José Maria Callejon,Granada CF,1.2,2.0,794,25,ESP
165,Sergi Canos,Valencia CF,1.2,2.0,1234,27,ESP
169,Yeray Álvarez,Athletic Club,1.2,1.0,1155,19,ESP
170,Diego Rico,Getafe,1.1,10.0,2536,32,ESP
171,Mario Hermoso,Atlético de Madrid,1.1,9.0,2556,31,ESP
172,Ricard Sánchez,Granada CF,1.1,8.0,2298,33,ESP
173,Jorge Cuenca,Villarreal,1.1,7.0,1961,29,ESP
174,Guido Rodriguez,Real Betis,1.1,6.0,1849,24,ARG
174,Ronald Araujo,Barcelona,1.1,6.0,1994,25,URU
176,César Montes,Almería,1.1,5.0,1792,21,MEX
176,Marcos Llorente,Atlético de Madrid,1.1,5.0,2570,37,ESP
176,Martin Valjent,Mallorca,1.1,5.0,2354,28,SVK
179,Alfonso Pedraza,Villarreal,1.1,4.0,1119,19,ESP
179,Nacho Fernandez,Real Madrid,1.1,4.0,1739,29,ESP
179,Raphinha,Barcelona,1.1,4.0,1370,28,BRA
182,Juan Cruz,Osasuna,1.1,3.0,1663,26,ESP
182,Manuel Sánchez,Celta de Vigo,1.1,3.0,1777,26,ESP
182,Munir El Haddadi,Las Palmas,1.1,3.0,2470,38,MAR
182,Toni Lato,Mallorca,1.1,3.0,1546,28,ESP
186,Unai Gomez,Athletic Club,1.1,1.0,867,25,ESP
186,Valery Fernández,Girona,1.1,1.0,486,27,ESP
188,Hector Bellerin,Real Betis,1.1,0.0,1714,23,ESP
188,Samuel Dias Lino,Atlético de Madrid,1.1,0.0,2087,34,BRA
190,Lucas Ocampos,Sevilla,1.0,9.0,2885,35,ARG
191,Isi Palazon,Rayo Vallecano,1.0,8.0,2810,37,ESP
191,Juan Miranda,Real Betis,1.0,8.0,1860,25,ESP
193,Frenkie de Jong,Barcelona,1.0,7.0,1637,20,NED
193,Sergio Ramos,Sevilla,1.0,7.0,2518,28,ESP
195,Leo Baptistao,Almería,1.0,6.0,1843,32,BRA
195,Rafa Marin,Alavés,1.0,6.0,2442,33,ESP
197,Arnau Martinez,Girona,1.0,5.0,1240,21,ESP
197,Edgar González,Almería,1.0,5.0,2528,31,ESP
197,Ignasi Miquel,Granada CF,1.0,5.0,2991,34,ESP
197,Nahuel Tenaglia,Alavés,1.0,5.0,1131,25,ARG
201,Inaki Williams,Athletic Club,1.0,4.0,2855,34,GHA
201,Juan Iglesias,Getafe,1.0,4.0,1413,23,ESP
201,Nahuel Molina,Atlético de Madrid,1.0,4.0,1855,30,ARG
204,Abner,Real Betis,1.0,3.0,1397,23,BRA
204,Daniel Carvajal,Real Madrid,1.0,3.0,2172,28,ESP
204,Jesus Areso,Osasuna,1.0,3.0,2661,37,ESP
204,Myrto Uzuni,Granada CF,1.0,3.0,2459,34,ALB
204,Sandro Ramirez,Las Palmas,1.0,3.0,1819,27,ESP
204,Sergio Camello,Rayo Vallecano,1.0,3.0,1668,31,ESP
210,Fran Beltrán,Celta de Vigo,1.0,2.0,2438,33,ESP
210,Luka Modric,Real Madrid,1.0,2.0,1685,32,CRO
210,Marc Pubill,Almería,1.0,2.0,1889,23,ESP
210,Oscar Melendo,Granada CF,1.0,2.0,1126,26,ESP
210,Sergio Akieme,Almería,1.0,2.0,1676,19,EQG
215,Abdessamad Ezzalzouli,Real Betis,1.0,1.0,921,28,MAR
215,Jesus Vázquez,Valencia CF,1.0,1.0,705,20,ESP
215,Johan Mojica,Osasuna,1.0,1.0,2041,30,COL
215,Pablo Torre,Girona,1.0,1.0,690,26,ESP
219,Benito,Las Palmas,1.0,0.0,368,20,ESP
220,Alex Suárez,Las Palmas,0.9,7.0,2566,32,ESP
220,Antonio Rüdiger,Real Madrid,0.9,7.0,2707,33,GER
220,Aurélien Tchouaméni,Real Madrid,0.9,7.0,1987,27,FRA
223,Álvaro Garcia,Rayo Vallecano,0.9,6.0,2493,32,ESP
223,Andoni Gorosabel,Alavés,0.9,6.0,2863,36,ESP
223,Raul Albiol,Villarreal,0.9,6.0,2035,26,ESP
226,Ferland Mendy,Real Madrid,0.9,5.0,1725,23,FRA
226,Iván Martin,Girona,0.9,5.0,2744,36,ESP
226,Loic Badé,Sevilla,0.9,5.0,2283,28,FRA
226,Oscar de Marcos,Athletic Club,0.9,5.0,2261,28,ESP
226,Savio,Girona,0.9,5.0,2989,37,BRA
226,Stefan Savic,Atlético de Madrid,0.9,5.0,1631,23,MNE
232,Juan Brandariz,Almería,0.9,4.0,2432,31,ESP
232,Pau Cubarsi,Barcelona,0.9,4.0,1562,19,ESP
232,Raul Garcia,Osasuna,0.9,4.0,1347,35,ESP
235,Javi Lopez,Alavés,0.9,3.0,2387,32,ESP
235,Lamine Yamal,Barcelona,0.9,3.0,2197,37,ESP
237,Alex Sola,Alavés,0.9,2.0,1285,31,ESP
237,Artem Dovbyk,Girona,0.9,2.0,2605,36,UKR
237,Carlos Dominguez,Celta de Vigo,0.9,2.0,1585,22,ESP
237,Diego Lopez,Valencia CF,0.9,2.0,2671,36,ESP
237,Takefusa Kubo,Real Sociedad,0.9,2.0,2155,30,JPN
242,Jorge de Frutos,Rayo Vallecano,0.9,1.0,1542,36,ESP
243,Gerard Moreno,Villarreal,0.9,0.0,2229,30,ESP
244,Fali,Cádiz,0.8,12.0,2550,30,ESP
245,Abdul Mumin,Rayo Vallecano,0.8,5.0,1695,20,GHA
245,Axel Witsel,Atlético de Madrid,0.8,5.0,2784,35,BEL
245,Eric Garcia,Girona,0.8,5.0,2697,32,ESP
245,Ezequiel Ávila,Real Betis,0.8,5.0,1166,23,ARG
245,Julian Araujo,Las Palmas,0.8,5.0,1462,25,MEX
245,Robert Lewandowski,Barcelona,0.8,5.0,2758,35,POL
251,Aleix Garcia,Girona,0.8,4.0,3201,37,ESP
251,David Lopez,Girona,0.8,4.0,1975,25,ESP
251,Luis Rioja,Alavés,0.8,4.0,2511,37,ESP
251,Miguel Gutiérrez,Girona,0.8,4.0,3037,35,ESP
251,Nico Williams,Athletic Club,0.8,4.0,2280,31,ESP
251,Sergi Darder,Mallorca,0.8,4.0,2154,36,ESP
257,José Arnáiz,Osasuna,0.8,3.0,922,26,ESP
257,Mikel Oyarzabal,Real Sociedad,0.8,3.0,2157,33,ESP
259,Daniel Ceballos,Real Madrid,0.8,2.0,586,20,ESP
259,Jonathan Viera,Almería,0.8,2.0,1541,21,ESP
259,Juanlu Sánchez,Sevilla,0.8,2.0,1174,26,ESP
259,Manu Morlanes,Mallorca,0.8,2.0,1610,35,ESP
263,Alberto Moleiro,Las Palmas,0.8,1.0,1807,28,ESP
263,Iker Muniain,Athletic Club,0.8,1.0,585,20,ESP
265,Germán Pezzella,Real Betis,0.7,7.0,2770,32,ARG
266,Lucas Pires,Cádiz,0.7,6.0,1527,28,BRA
266,Saul Coco,Las Palmas,0.7,6.0,2293,30,EQG
268,Bryan Zaragoza,Granada CF,0.7,5.0,1640,21,ESP
268,Florian Lejeune,Rayo Vallecano,0.7,5.0,3328,37,FRA
268,Gabriel Paulista,Atlético de Madrid,0.7,5.0,1806,23,BRA
268,Inigo Martinez,Barcelona,0.7,5.0,1293,20,ESP
268,Koke,Atlético de Madrid,0.7,5.0,2502,35,ESP
273,Inigo Lekue,Athletic Club,0.7,4.0,2001,27,ESP
273,Jules Koundé,Barcelona,0.7,4.0,2899,35,FRA
273,Mika Mármol,Las Palmas,0.7,4.0,3181,36,ESP
273,Youssef En-Nesyri,Sevilla,0.7,4.0,2573,33,MAR
