Rank,Player,Team,FotMob Rating,Player of the Match Awards,Minutes,Matches,Country
181,Jan Oblak,Atlético de Madrid,6.79,1.0,3420,38,SVN
181,Aitor Paredes,Athletic Club,6.79,1.0,2706,34,ESP
183,Adrià Pedrosa,Sevilla,6.78,0.0,1749,31,ESP
184,Rui Silva,Real Betis,6.78,1.0,2475,28,POR
184,Jon Pacheco,Real Sociedad,6.78,1.0,1521,23,ESP
186,Willian José,Real Betis,6.78,0.0,1978,33,BRA
187,Ferran Torres,Barcelona,6.78,1.0,1204,29,ESP
188,Rafa Marin,Alavés,6.77,0.0,2442,33,ESP
188,Toni Lato,Mallorca,6.77,0.0,1546,28,ESP
190,Abdul Mumin,Rayo Vallecano,6.76,0.0,1695,20,GHA
190,Alberto Moleiro,Las Palmas,6.76,0.0,1807,28,ESP
190,Unai Lopez,Rayo Vallecano,6.76,0.0,2123,35,ESP
193,Iván Balliu,Rayo Vallecano,6.75,0.0,2876,33,ALB
193,Pathé Ciss,Rayo Vallecano,6.75,0.0,1658,31,SEN
195,Fran Beltrán,Celta de Vigo,6.75,1.0,2438,33,ESP
196,Dion Lopy,Almería,6.74,1.0,1917,30,SEN
197,Djibril Sow,Sevilla,6.74,0.0,1469,24,SUI
197,Fali,Cádiz,6.74,0.0,2550,30,ESP
199,Daniel Rodriguez,Mallorca,6.74,3.0,2632,36,ESP
200,Martin Valjent,Mallorca,6.74,1.0,2354,28,SVK
201,Abner,Real Betis,6.74,0.0,1397,23,BRA
201,Étienne Capoue,Villarreal,6.74,0.0,1444,32,FRA
203,Pablo Maffeo,Mallorca,6.73,0.0,1456,22,ARG
204,Saul Coco,Las Palmas,6.73,2.0,2293,30,EQG
205,Isaac Carcelén,Cádiz,6.73,0.0,2609,35,ESP
206,David Soria,Getafe,6.72,3.0,3414,38,ESP
207,Victor Chust,Cádiz,6.72,0.0,1870,22,ESP
207,Dodi Lukebakio,Sevilla,6.72,0.0,1124,23,BEL
207,Oliver Torres,Sevilla,6.72,0.0,1620,27,ESP
207,José Giménez,Atlético de Madrid,6.72,0.0,1323,22,URU
207,Dimitri Foulquier,Valencia CF,6.72,0.0,1833,33,FRA
212,Djené,Getafe,6.71,1.0,2490,33,TOG
213,Lucas Torro,Osasuna,6.71,0.0,1788,28,ESP
214,Sergi Canos,Valencia CF,6.71,1.0,1234,27,ESP
215,Cristhian Mosquera,Valencia CF,6.71,0.0,3074,36,ESP
216,Gabriel Paulista,Atlético de Madrid,6.7,0.0,1806,23,BRA
216,Sandro Ramirez,Las Palmas,6.7,0.0,1819,27,ESP
218,Oscar Rodriguez,Getafe,6.7,1.0,962,24,ESP
219,Ilias Akhomach,Villarreal,6.69,0.0,1511,31,MAR
220,Gonzalo Villar,Granada CF,6.69,1.0,1785,35,ESP
221,Alberto Moreno,Villarreal,6.69,0.0,1490,27,ESP
221,Carlos Dominguez,Celta de Vigo,6.69,0.0,1585,22,ESP
223,Sergio Herrera,Osasuna,6.69,2.0,2870,32,ESP
224,Leo Baptistao,Almería,6.69,0.0,1843,32,BRA
224,Aridane Hernández,Rayo Vallecano,6.69,0.0,1691,19,EQG
224,Abdelkabir Abqar,Alavés,6.69,0.0,2314,27,MAR
227,Alex Sola,Alavés,6.67,1.0,1285,31,ESP
228,Omar Alderete,Getafe,6.67,0.0,2194,31,PAR
229,Cristhian Stuani,Girona,6.66,2.0,782,31,URU
230,Enzo Loiodice,Las Palmas,6.66,0.0,1792,34,FRA
230,Ander Barrenetxea,Real Sociedad,6.66,0.0,1436,29,ESP
230,Gerard Gumbau,Granada CF,6.66,0.0,2684,35,ESP
230,Javier Guerra,Valencia CF,6.66,0.0,2502,36,ESP
234,Filip Jörgensen,Villarreal,6.65,2.0,3240,36,DEN
235,Maximo Perrone,Las Palmas,6.65,0.0,1626,29,ARG
235,Jon Moncayola,Osasuna,6.65,0.0,1801,33,ESP
237,Sergio Akieme,Almería,6.64,0.0,1676,19,EQG
237,Arsen Zakharyan,Real Sociedad,6.64,0.0,1229,29,RUS
237,Javier Munoz,Las Palmas,6.64,0.0,2646,37,ESP
237,Benat Turrientes,Real Sociedad,6.64,0.0,1688,29,ESP
