Rank,Player,Team,Goals,Penalties,Minutes,Matches,Country
120,Luka Modric,Real Madrid,2.0,0.0,1685,32,CRO
120,Marc Roca,Real Betis,2.0,0.0,1986,26,ESP
120,Matija Nastasic,Mallorca,2.0,0.0,2257,26,SRB
120,Miguel Gutiérrez,Girona,2.0,0.0,3037,35,ESP
120,Nahuel Molina,Atlético de Madrid,2.0,0.0,1855,30,ARG
120,Oscar Mingueza,Celta de Vigo,2.0,0.0,3002,38,ESP
120,Oscar Rodriguez,Getafe,2.0,0.0,962,24,ESP
120,Pejino,Las Palmas,2.0,0.0,498,17,ESP
120,Rafa Mir,Sevilla,2.0,0.0,382,15,ESP
120,Reinildo,Atlético de Madrid,2.0,0.0,723,16,MOZ
120,Robin Le Normand,Real Sociedad,2.0,0.0,2473,29,ESP
120,Roger,Cádiz,2.0,0.0,1367,23,ESP
120,Rubén Duarte,Alavés,2.0,0.0,1875,28,ESP
120,Santi Comesana,Villarreal,2.0,0.0,1656,27,ESP
120,Sergi Darder,Mallorca,2.0,0.0,2154,36,ESP
120,Sergio Akieme,Almería,2.0,0.0,1676,19,EQG
120,Sheraldo Becker,Real Sociedad,2.0,0.0,772,15,SUR
120,Unai Gomez,Athletic Club,2.0,0.0,867,25,ESP
120,Valery Fernández,Girona,2.0,0.0,486,27,ESP
120,Vitor Roque,Barcelona,2.0,0.0,319,14,BRA
120,Yerson Mosquera,Villarreal,2.0,0.0,1228,16,COL
170,Aimar Oroz,Osasuna,2.0,1.0,2350,33,ESP
170,Bebé,Rayo Vallecano,2.0,1.0,193,19,CPV
170,Carlos Fernández,Real Sociedad,2.0,1.0,406,10,ESP
173,Jonathan Viera,Las Palmas,2.0,2.0,1541,21,ESP
174,Abderrahman Rebbach,Alavés,1.0,0.0,713,23,ALG
174,Abdessamad Ezzalzouli,Real Betis,1.0,0.0,921,28,MAR
174,Abdul Mumin,Rayo Vallecano,1.0,0.0,1695,20,GHA
174,Adrià Pedrosa,Sevilla,1.0,0.0,1749,31,ESP
174,Aissa Mandi,Villarreal,1.0,0.0,1113,16,ALG
174,Aitor Paredes,Athletic Club,1.0,0.0,2706,34,ESP
174,Alejandro Catena,Osasuna,1.0,0.0,2536,30,ESP
174,Aleksandar Sedlar,Alavés,1.0,0.0,948,11,SRB
174,Alfonso Pedraza,Villarreal,1.0,0.0,1119,19,ESP
174,Ander Guevara,Alavés,1.0,0.0,2936,37,ESP
174,Andoni Gorosabel,Alavés,1.0,0.0,2863,36,ESP
174,Antonio Rüdiger,Real Madrid,1.0,0.0,2707,33,GER
174,Arsen Zakharyan,Real Sociedad,1.0,0.0,1229,29,RUS
174,Benito,Las Palmas,1.0,0.0,368,20,ESP
174,Bertrand Traoré,Villarreal,1.0,0.0,569,11,BFA
174,Brian Ocampo,Cádiz,1.0,0.0,237,13,URU
174,Bruno Langa,Almería,1.0,0.0,819,11,MOZ
174,Carl Starfelt,Celta de Vigo,1.0,0.0,2218,27,SWE
174,Carles Alena,Getafe,1.0,0.0,1007,29,ESP
174,Carles Pérez,Celta de Vigo,1.0,0.0,768,16,ESP
174,Cristian Herrera,Las Palmas,1.0,0.0,159,8,ESP
174,Daley Blind,Girona,1.0,0.0,2971,34,NED
174,Dani Garcia,Athletic Club,1.0,0.0,738,17,ESP
174,Djibril Sow,Sevilla,1.0,0.0,1469,24,SUI
174,Étienne Capoue,Villarreal,1.0,0.0,1444,32,FRA
174,Federico San Emeterio,Cádiz,1.0,0.0,155,4,ESP
174,Fran Pérez,Valencia CF,1.0,0.0,2069,32,ESP
174,Francisco Garcia,Real Madrid,1.0,0.0,1396,25,ESP
174,Gavi,Barcelona,1.0,0.0,943,12,ESP
174,Germán Pezzella,Real Betis,1.0,0.0,2770,32,ARG
174,Giovanni González,Mallorca,1.0,0.0,2463,34,URU
174,Giuliano Simeone,Alavés,1.0,0.0,628,14,ARG
174,Gonzalo Escalante,Cádiz,1.0,0.0,1702,25,ARG
174,Gonzalo Melero,Almería,1.0,0.0,1093,28,ESP
174,Gonzalo Villar,Granada CF,1.0,0.0,1785,35,ESP
174,Hugo Álvarez,Celta de Vigo,1.0,0.0,763,12,ESP
174,Hugo Guillamon,Valencia CF,1.0,0.0,1305,26,ESP
174,Ignasi Miquel,Granada CF,1.0,0.0,2991,34,ESP
174,Inigo Ruiz de Galarreta,Athletic Club,1.0,0.0,2104,29,ESP
174,Javi Llabrés,Mallorca,1.0,0.0,235,16,ESP
174,Javi Lopez,Alavés,1.0,0.0,2387,32,ESP
174,Javier Hernández,Cádiz,1.0,0.0,2517,30,ESP
174,Jesus Areso,Osasuna,1.0,0.0,2661,37,ESP
174,Jesus Santiago,Getafe,1.0,0.0,657,14,ESP
174,Jesus Vázquez,Valencia CF,1.0,0.0,705,20,ESP
174,Johnny,Real Betis,1.0,0.0,1331,17,USA
174,Jon Moncayola,Osasuna,1.0,0.0,1801,33,ESP
174,Jon Pacheco,Real Sociedad,1.0,0.0,1521,23,ESP
174,José Ángel Carmona,Getafe,1.0,0.0,1312,30,ESP
174,José Copete,Mallorca,1.0,0.0,1335,19,ESP
174,José Gayà,Valencia CF,1.0,0.0,1797,24,ESP
174,Juan Foyth,Villarreal,1.0,0.0,1063,12,ARG
174,Juan Miranda,Real Betis,1.0,0.0,1860,25,ESP
174,Jules Koundé,Barcelona,1.0,0.0,2899,35,FRA
174,Julian Araujo,Las Palmas,1.0,0.0,1462,25,MEX
174,Kaiky,Almería,1.0,0.0,520,8,BRA
174,Kike Pérez,Rayo Vallecano,1.0,0.0,828,24,ESP
174,Luca de la Torre,Celta de Vigo,1.0,0.0,1956,31,USA
174,Lucas Pires,Cádiz,1.0,0.0,1527,28,BRA
174,Lucas Torro,Osasuna,1.0,0.0,1788,28,ESP
174,Luis Hernández,Cádiz,1.0,0.0,722,9,ESP
174,Marc Guiu,Barcelona,1.0,0.0,73,3,ESP
174,Marc Pubill,Almería,1.0,0.0,1889,23,ESP
174,Marcos Acuna,Sevilla,1.0,0.0,1296,21,ARG
174,Marko Milovanovic,Almería,1.0,0.0,301,11,SRB
174,Miguel Rubio,Granada CF,1.0,0.0,1559,19,ESP
174,Mouctar Diakhaby,Valencia CF,1.0,0.0,1071,14,GUI
174,Nabil Fekir,Real Betis,1.0,0.0,1049,19,FRA
174,Nacho Vidal,Osasuna,1.0,0.0,506,15,ESP
174,Nahuel Tenaglia,Alavés,1.0,0.0,1131,25,ARG
174,Nemanja Gudelj,Sevilla,1.0,0.0,1744,22,SRB
174,Oscar de Marcos,Athletic Club,1.0,0.0,2261,28,ESP
174,Oscar Valentin,Rayo Vallecano,1.0,0.0,2700,34,ESP
174,Pablo Ibánez,Osasuna,1.0,0.0,1141,33,ESP
174,Pablo Maffeo,Mallorca,1.0,0.0,1456,22,ARG
174,Pathé Ciss,Rayo Vallecano,1.0,0.0,1658,31,SEN
174,Pep Chavarria,Rayo Vallecano,1.0,0.0,1164,22,ESP
174,Raul Garcia,Athletic Club,1.0,0.0,404,20,ESP
174,Robert Navarro,Cádiz,1.0,0.0,1905,28,ESP
174,Ronald Araujo,Barcelona,1.0,0.0,1994,25,URU
174,Samu,Mallorca,1.0,0.0,2305,34,POR
174,Sandro Ramirez,Las Palmas,1.0,0.0,1819,27,ESP
174,Saul Coco,Las Palmas,1.0,0.0,2293,30,EQG
174,Saul Niguez,Atlético de Madrid,1.0,0.0,1363,34,ESP
174,Sergi Altimira,Real Betis,1.0,0.0,566,14,ESP
174,Sergi Canos,Valencia CF,1.0,0.0,1234,27,ESP
174,Sergi Cardona,Las Palmas,1.0,0.0,2816,35,ESP
174,Sergi Guardiola,Cádiz,1.0,0.0,475,22,ESP
174,Sory Kaba,Las Palmas,1.0,0.0,720,17,GUI
174,Stefan Mitrovic,Getafe,1.0,0.0,700,11,SRB
174,Suso,Sevilla,1.0,0.0,1514,29,ESP
174,Tadeo Allende,Celta de Vigo,1.0,0.0,330,10,ARG
174,Theodor Corbeanu,Granada CF,1.0,0.0,196,9,CAN
174,Toni Kroos,Real Madrid,1.0,0.0,2130,33,GER
174,Unai Garcia,Osasuna,1.0,0.0,559,9,ESP
174,Unai Lopez,Rayo Vallecano,1.0,0.0,2123,35,ESP
174,Unai Nunez,Celta de Vigo,1.0,0.0,2802,34,ESP
174,William Carvalho,Real Betis,1.0,0.0,669,22,POR
174,Yan Couto,Girona,1.0,0.0,2245,34,BRA
273,Alberto Mari,Valencia CF,1.0,1.0,264,16,ESP
273,Radamel Falcao,Rayo Vallecano,1.0,1.0,391,22,COL
273,Randy Nteka,Rayo Vallecano,1.0,1.0,563,16,ANG
273,Raul de Tomas,Rayo Vallecano,1.0,1.0,1277,25,ESP
